chargelarge_id,name,address,latitude,longitude,power_range,charge_point_count,port_count,dc_port_count,connector_types,min_power_kw,max_power_kw,status_counts,fast_dc_indicator
15d06bf5-6b4a-425d-9312-bae4b17cc22b-6,EVSE Australia,"19/287 Victoria Rd, Rydalmere, NSW 2116",-33.8120957,151.0357542,0 - 60,8,10,3,CCS2|TYPE2,0.0,60.0,"{""Available"": 2, ""Missing"": 8}",True
15d06bf5-6b4a-425d-9312-bae4b17cc22b-260,Energy Trade - Schofields - Jerralong Dr/Isla St,"125 Jerralong Dr, Schofields, NSW 2762",-33.7035011,150.881432,22,3,3,0,TYPE2,22.0,22.0,"{""Missing"": 3}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-380,Beach St Huskisson - Climax Air,"9 Beach St, Huskisson, NSW 2540",-35.0449083,150.6754418,7,1,1,0,TYPE2,7.0,7.0,"{""Missing"": 1}",False
393dc550-5791-46d3-a359-20e9e5b406b3-659cb78903c231cb9400410a,Yarrawonga Mulwala Golf Club Resort (Villas),"Golf Club Road, Mulwala, NSW 2647",-36.0054412,145.9949607,7,4,4,0,TYPE2,7.0,7.0,"{""Available"": 4}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1310,[TBC] [SO-35169] CS Energy - CSE370 - Bundaberg,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7 - 22,6,11,0,TYPE2,7.0,22.0,"{""Missing"": 11}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-8,Dixon Park Beach-Merewether,"20 Ocean St, Merewether NSW 2291澳大利亚, Merewether, NSW 2291",-32.944764,151.760535,11,3,3,0,TYPE2,11.0,11.0,"{""Available"": 2, ""Inoperative"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-188,107 Culloden Rd-Marsfield,"107 Culloden Rd, Marsfield NSW 2122, Australi, Marsfield, NSW 2122",-33.774078,151.105771,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-225,6 Howe St-Singleton,"6 Howe St, Singleton NSW, Australia, 2330, Singleton, NSW 2330",-32.568798,151.180906,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-89,70 Lower Gibbes St-Chatswood,"70 Lower Gibbes St, Chatswood, Chatswood, NSW 2067",-33.785616,151.198228,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-18,26 Nelson St Annandale NSW 2038,"26 Nelson St, Annandale NSW 2038, Australia, Annandale, NSW 2038",-33.886332,151.17173,22,1,1,0,TYPE2,22.0,22.0,"{""Available"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1549,[TBC] [SO001048] Andrew Roubicek,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-213,203 Brisbane St-Dubbo,"203 Brisbane St, Dubbo, NSW, Australia, 2830, Dubbo, NSW 2830",-32.252271,148.603008,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-67,284 Old South Head Rd-Watsons Bay,"284 Old South Head Rd, Watsons Bay NSW 2030,, Watsons Bay, NSW 2030",-33.846393,151.283846,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-25,66 Cliff Rd-Wollongong,"66 Cliff Rd, Wollongong NSW 2500, Australia, Wollongong, NSW 2500",-34.418649,150.90218,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1607,[TBC] [SO001420] Inner West Council - Petersham Depot,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,4,4,0,TYPE2,22.0,22.0,"{""Missing"": 4}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1423,[TBC] [SO-36167] Patrick Stevedores Operations,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,2,4,0,TYPE2,22.0,22.0,"{""Missing"": 4}",False
