source_index,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_attributes,osm_all_status,osm_all_method,osm_all_distance_m,osm_all_address_score,osm_all_id,osm_all_address,osm_all_attributes,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_attributes,chargelarge_all_status,chargelarge_all_method,chargelarge_all_distance_m,chargelarge_all_address_score,chargelarge_all_id,chargelarge_all_address,chargelarge_all_attributes,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_attributes,combined_broad_status,combined_dc_indicated_status
1,,"01 Wallgrove Road, Sydney NSW 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766.0,Existing Fast Chargers,accepted,coordinate_500m,65.13844654951765,0.6067567567567569,272521,"BP Truckstop, Wallgrove Road & Old Wallgrove Road, Eastern Creek, New South Wales, 2766","{""charger_capacities"": ""75 kW"", ""number_of_plugs"": 2.0, ""operator"": ""BP Pulse (AU)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,65.7981731432385,0.0,10590006365,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""bp pulse"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
2,,"1 - 7 Ross Street, Wilcannia NSW 2836",NRMA Electric,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350.0,TfNSW Regional,accepted,coordinate_500m,29.225432401106143,0.6072327044025158,170824,"82 Marsh Street, Armidale, New South Wales, 2350","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,29.526628596528386,0.0,8133502030,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,coordinate_500m,421.7154627740981,0.4081176470588236,15d06bf5-6b4a-425d-9312-bae4b17cc22b-2444,"12 Cinders Ln, Armidale, NSW 2350","{""charger_capacities"": 150.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 1, \""OutOfService\"": 3}""}",accepted,accepted
5,,"1 Bay Street, Sydney NSW 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,accepted,coordinate_500m,19.442848782107593,0.7928571428571429,311308,"1 Bay Street, Broadway, NSW, 2007","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 3.0, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,66.31887271012747,0.0,5438383393,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 8, ""opening_hours"": ""24/7"", ""operator"": ""Tesla"", ""osm_last_updated"": ""2026-03-29"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,307.9174714299631,0.4035294117647059,d1cbdd86-205d-4538-b287-34032bf74788-ibxdE7VEtpT7LdkriyIUSgVk-paThlG_iOPe,"2 Buckland St, Chippendale, NSW 2008","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
6,,"1 Bells Boulevard, Kingscliff NSW 2487",Evie Networks,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched
11,,"1 Dalgal Way, Sydney NSW 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,26.33719187131462,0.0,6965052432,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,26.33719187131462,0.0,6965052432,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-08-12"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,448.6645969500187,0.10169602087410307,baaffa39-0adb-422e-a7bf-4b391d232b5d-110,"266 Johnston St, Annandale NSW 2038, Australi, Annandale, NSW 2038","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Charging\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
16,,"1 Frederick Street, Sydney NSW 2064",Evie Networks,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064.0,Existing Fast Chargers,accepted,coordinate_500m,157.01557144383443,0.35,272613,"65 Reserve Road, St Leonards, New South Wales, 2065","{""charger_capacities"": ""22 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,coordinate_500m,92.58060399570518,0.6590909090909092,ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-82,"12 Frederick St, St Leonards NSW 2065, Austra, St Leonards, NSW 2065","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,coordinate_500m,480.3922950434038,0.32407407407407407,393dc550-5791-46d3-a359-20e9e5b406b3-6788b95616c263b357a1ec99,"18/39 Herbert Street, St Leonards, NSW 2065","{""charger_capacities"": 25.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""CCS2|CHAdeMO"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,accepted
19,,"1 Greenbridge Drive, Wilton NSW 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,2.9235762085473587,0.0,12624993541,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,2.9235762085473587,0.0,12624993541,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Chargefox"", ""osm_last_updated"": ""2025-02-28"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
23,,"1 Ingham Drive, Casula NSW 2170",Evie Networks,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170.0,ARENA - Driving the Nation,accepted,coordinate_and_fuzzy_address,125.52341782379166,1.0,272688,"1 Ingham Dr, Casula, New South Wales, 2170","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,0.9333057450461221,0.0,9863034303,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,0.9333057450461221,0.0,9863034303,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2023-03-30"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
27,,"1 Little Walker Street, Casino NSW 2470",NRMA Electric,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622.0,TfNSW Regional,unmatched,unmatched,,,,,{},accepted,coordinate_500m,37.93703118299952,0.0,12644131941,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,37.93703118299952,0.0,12644131941,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2025-10-20"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
35,,"1 Park Street, Sydney NSW 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,5.7225965348745085,0.9511111111111111,192929,"1 Park St, Mona Vale, NSW, 2103","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Jolt"", ""plug_types"": ""CHAdeMO; CCS (Type 2)""}",accepted,coordinate_500m,15.388839462195333,0.0,9704706490,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",accepted,coordinate_500m,15.388839462195333,0.0,9704706490,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": ""24/7"", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-20"", ""plug_types"": ""CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
36,,"1 Perry Street, Batemans Bay NSW 2536",Evie Networks,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536.0,Existing Fast Chargers,accepted,coordinate_500m,138.42854106527693,0.43486842105263157,157566,"2A Beach Road, Batemans Bay, NSW, 2536","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,149.62063319241864,0.0,6512442081,,"{""access_condition"": ""Free Access"", ""charger_capacities"": 50.0, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-18"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,149.62063319241864,0.0,6512442081,,"{""access_condition"": ""Free Access"", ""charger_capacities"": 50.0, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-18"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,352.1770243955108,0.40825471698113214,15d06bf5-6b4a-425d-9312-bae4b17cc22b-324,"4-6 Beach Rd, Batemans Bay, NSW 2536","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",unmatched,unmatched,,,,,{},accepted,accepted
37,,"1 Plunkett Street, Sydney NSW 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065.0,Existing Fast Chargers,accepted,coordinate_500m,274.9827753415912,0.44285714285714284,272632,"88 Christie St, St Leonards, NSW, 2065","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Evie"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,273.9218738277842,0.0,12896497308,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2025-06-08"", ""plug_types"": """"}",accepted,coordinate_500m,443.4775028158563,0.0,13059026685,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2025-10-10"", ""plug_types"": ""CCS""}",accepted,coordinate_and_fuzzy_address,0.07626626198482477,0.928,15d06bf5-6b4a-425d-9312-bae4b17cc22b-1993,"1 Plunkett St, New South Wales, St Leonards, NSW 2065","{""charger_capacities"": 50.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,coordinate_and_fuzzy_address,0.07626626198482477,0.928,15d06bf5-6b4a-425d-9312-bae4b17cc22b-1993,"1 Plunkett St, New South Wales, St Leonards, NSW 2065","{""charger_capacities"": 50.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""CCS2"", ""status_counts"": ""{\""Available\"": 2}""}",accepted,accepted
47,,"1 Wharf Street, Tweed Heads NSW 2485",Tesla,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,14.390811621439866,0.0,11425324344,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-04-23"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_and_fuzzy_address,496.25104862376406,0.8725490196078433,15d06bf5-6b4a-425d-9312-bae4b17cc22b-119,"123 Wharf St, Tweed Heads, NSW 2485","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",unmatched,unmatched,,,,,{},accepted,unmatched
49,,"1/9 Railway Parade, Kogarah NSW 2217",Evie Networks,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217.0,ARENA - Driving the Nation,unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched
50,,"10 Brookfield Road, Minto NSW 2566",Evie Networks,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566.0,ARENA - Driving the Nation,unmatched,unmatched,,,,,{},accepted,coordinate_500m,5.603513344119049,0.0,12015862929,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2024-06-27"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,5.603513344119049,0.0,12015862929,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2024-06-27"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
53,,"10 Elizabeth Street, Bathurst NSW 2795",Evie Networks,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,6.032640566244588,0.0,12481649796,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2025-05-25"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,6.032640566244588,0.0,12481649796,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2025-05-25"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
59,,"10 Winery Drive, Port Macquarie NSW 2444",Tesla,12,DC,130 kW,-31.43610015,152.8235826,Port Macquarie-Hastings Council,2444.0,Existing Fast Chargers,accepted,coordinate_500m,0.05931765667445182,0.3973134328358209,79311,"764 Pacific Highway, Port Macquarie, NSW, 2444","{""charger_capacities"": ""120 kW"", ""number_of_plugs"": 6.0, ""operator"": ""Tesla (Tesla-only charging)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,9.835200171215044,0.0,6460587589,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 6, ""opening_hours"": ""24/7"", ""operator"": ""Tesla"", ""osm_last_updated"": ""2026-03-29"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,9.835200171215044,0.0,6460587589,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 6, ""opening_hours"": ""24/7"", ""operator"": ""Tesla"", ""osm_last_updated"": ""2026-03-29"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
66,,"105 Station Road, Sydney NSW 2147",Ampol,2,DC,150 kW,-33.77436041,150.9448809,Blacktown City Council,2147.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,4.943991220314163,0.0,13036266779,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""AmpCharge"", ""osm_last_updated"": ""2025-07-29"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,4.943991220314163,0.0,13036266779,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""AmpCharge"", ""osm_last_updated"": ""2025-07-29"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
67,,"106 Parraween Street, Sydney NSW 2090",Evie Networks,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,4.7810970061745595,0.0,13012980190,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2026-04-17"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,unmatched
68,,"1067 Oxley Highway, Thrumster NSW 2444",Chargefox,4,DC,180 kW,-31.46394199,152.8219499,Port Macquarie-Hastings Council,2444.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,29.91268634829337,0.8931034482758622,172921,"1063 Oxley Highway, Thrumster, NSW, 2444","{""charger_capacities"": ""350 kW; 100 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,26.234477594779104,0.0,8390250930,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2026-06-11"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,26.234477594779104,0.0,8390250930,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 4, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2026-06-11"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
69,,"1068 Pittwater Road, Sydney NSW 2097",JOLT,2,DC,25 kW,-33.73111016,151.301011,Northern Beaches Council,2097.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,4.909650796181755,0.0,13139953507,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": """", ""osm_last_updated"": ""2025-09-12"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,unmatched
72,,"109 Beecroft Road, Sydney NSW 2119",JOLT,2,DC,25 kW,-33.75051656,151.0650831,"Hornsby, The Council of the Shire of",2119.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,1.8995533008069732,0.0,10971491088,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""Jolt"", ""osm_last_updated"": ""2023-06-12"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,unmatched
76,,"10W Apsley Street, Walcha NSW 2354",NRMA Electric,4,DC,50 kW,-29.960127,146.8578887,Walcha Council,2839.0,TfNSW Regional,accepted,coordinate_500m,56.6648653357934,0.5268181818181819,190682,"50 Bathurst Street, Brewarrina, New South Wales, 2839","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,73.30717875298141,0.0,9771012967,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-18"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
79,,"11 Ewingsdale Road, Ewingsdale NSW 2481",NRMA Electric,4,DC,75 kW,-28.63612817,153.5534605,Byron Shire Council,2481.0,Existing Fast Chargers,accepted,coordinate_500m,48.03506884477345,0.7214285714285715,190394,"Ewingsdale Road, Ewingsdale, New South Wales","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,21.336579513113488,0.0,6695968988,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,21.336579513113488,0.0,6695968988,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
83,,"11 Scott Street, Sydney NSW 2170",JOLT,2,DC,25 kW,-33.92522427,150.9265836,Liverpool City Council,2170.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched
86,,"110 Anzac Parade, Sydney NSW 2033",JOLT,2,DC,25 kW,-33.90717322,151.2239409,Randwick City Council,2033.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,17.96250223741031,0.9555555555555556,190875,"110 Anzac Pde, Kensington, New South Wales, 2033","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Jolt"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,16.30936859457673,0.0,9290676155,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""Jolt"", ""osm_last_updated"": ""2022-12-15"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,119.99739872624205,0.41508538899430747,ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-57,"7 Ascot St, Kensington NSW 2033, Australia, Kensington, NSW 2033","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",unmatched,unmatched,,,,,{},accepted,accepted
87,,"1106 Barrenjoey Road, Sydney NSW 2108",JOLT,2,DC,25 kW,-33.59707712,151.320022,Northern Beaches Council,2108.0,Existing Fast Chargers,accepted,coordinate_500m,23.475096297856304,0.8355932203389831,295979,"Barrenjoey Road, Palm Beach, New South Wales, 2108","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Jolt"", ""plug_types"": ""CHAdeMO; CCS (Type 2)""}",accepted,coordinate_500m,3.1625644288541985,0.0,11679262104,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 1, ""opening_hours"": """", ""operator"": ""Jolt"", ""osm_last_updated"": ""2024-03-01"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
91,,"11-37 Alexandria Parade, Sydney NSW 2077",JOLT,2,DC,25 kW,-33.70973178,151.1045866,"Hornsby, The Council of the Shire of",2077.0,Existing Fast Chargers,accepted,coordinate_500m,215.6142635057482,0.3486111111111111,278525,"Corner Pacific Highway, Unwin Road, Waitara, New South Wales, 2077","{""charger_capacities"": """", ""number_of_plugs"": 1.0, ""operator"": ""Ampol AmpCharge"", ""plug_types"": ""CCS (Type 2)""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
94,,"116 Liverpool Street, Scone NSW 2337",NRMA Electric,2,DC,50 kW,-31.9598511,141.4601038,Upper Hunter Shire Council,2880.0,TfNSW Regional,accepted,coordinate_500m,47.316385278679924,0.4842105263157894,190677,"51 Bromide St, Broken Hill, New South Wales, 2880","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,58.93521758541744,0.0,9344898113,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2021-12-16"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},accepted,coordinate_500m,301.49935715974755,0.4830188679245283,179ada28-f0c6-4431-a1fc-bbb2e5ec26d6-AUCHB28800001,"170 Crystal Street, Broken Hill, NSW 2880","{""charger_capacities"": 22.0, ""number_of_plugs"": 4, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 3, \""Charging\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
