source_index,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,ocm_status,ocm_method,ocm_distance_m,ocm_address_score,ocm_id,ocm_address,ocm_attributes,osm_all_status,osm_all_method,osm_all_distance_m,osm_all_address_score,osm_all_id,osm_all_address,osm_all_attributes,osm_fast_dc_status,osm_fast_dc_method,osm_fast_dc_distance_m,osm_fast_dc_address_score,osm_fast_dc_id,osm_fast_dc_address,osm_fast_dc_attributes,chargelarge_all_status,chargelarge_all_method,chargelarge_all_distance_m,chargelarge_all_address_score,chargelarge_all_id,chargelarge_all_address,chargelarge_all_attributes,chargelarge_fast_dc_status,chargelarge_fast_dc_method,chargelarge_fast_dc_distance_m,chargelarge_fast_dc_address_score,chargelarge_fast_dc_id,chargelarge_fast_dc_address,chargelarge_fast_dc_attributes,combined_broad_status,combined_dc_indicated_status
959,,"Stuart Street, Wagga Wagga NSW 2650",Everty,2,DC,25 kW,-35.12347852,147.3992282,Wagga Wagga City Council,2650.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,18.581413988027208,0.860233918128655,306016,"Stuart Road, East Wagga Wagga, New South Wales, 2650","{""charger_capacities"": ""25 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Everty"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
960,,"Sunset Boulevard, Soldiers Point NSW 2317",Chargefox,2,DC,24 kW,-32.70138843,152.0626466,Port Stephens Council,2317.0,Existing Fast Chargers,accepted,coordinate_500m,10.747968644053557,0.44672131147540983,273225,"Sunset Blvd, Soldiers Point, New South Wales, 2317","{""charger_capacities"": ""24 kW"", ""number_of_plugs"": 1.0, ""operator"": ""Chargefox"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",accepted,coordinate_500m,6.281341508752101,0.0,10564461448,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""Tesla"", ""osm_last_updated"": ""2025-05-26"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
967,,"University Of Wollongong, Northfields Avenue, Wollongong NSW 2522",Chargefox,6,DC,175 kW,-34.4079569,150.877135,Wollongong City Council,2522.0,Fast Charging R2,unmatched,unmatched,,,,,{},accepted,coordinate_500m,379.89581385762483,0.0,5047211383,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""ChargePoint"", ""osm_last_updated"": ""2025-05-29"", ""plug_types"": """"}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,unmatched
968,,"Valder Way, Charles Sturt University NSW 2678",Exploren,2,DC,120 kW,-35.05693398,147.3512593,Wagga Wagga City Council,2678.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,350.7822083012386,0.0,12885058151,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Exploren"", ""osm_last_updated"": ""2026-03-08"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,350.7822083012386,0.0,12885058151,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": """", ""operator"": ""Exploren"", ""osm_last_updated"": ""2026-03-08"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,0.12009052044132051,0.30000000000000004,15d06bf5-6b4a-425d-9312-bae4b17cc22b-891,"Charles Sturt University, NSW 2678","{""charger_capacities"": 7.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
969,,"Vesper Street, Batemans Bay NSW 2536",NRMA Electric,4,DC,75 kW,-35.7095526,150.173983,Eurobodalla Shire Council,2536.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,100.19010506989315,0.8894736842105264,209950,"12 Vesper Street, Batemans Bay, NSW, 2536","{""charger_capacities"": ""75 kW"", ""number_of_plugs"": 2.0, ""operator"": ""NRMA"", ""plug_types"": ""CHAdeMO; CCS (Type 2)""}",accepted,coordinate_500m,15.023399359549684,0.0,10026076729,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2024-04-13"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,15.023399359549684,0.0,10026076729,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2024-04-13"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,460.3210580625002,0.3947963800904978,15d06bf5-6b4a-425d-9312-bae4b17cc22b-324,"4-6 Beach Rd, Batemans Bay, NSW 2536","{""charger_capacities"": 22.0, ""number_of_plugs"": 2, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 2}""}",unmatched,unmatched,,,,,{},accepted,accepted
971,,"Waddells Avenue, Singleton NSW 2330",Everty,2,DC,50 kW,-32.57698603,151.1842142,Singleton Council,2330.0,Existing Fast Chargers,accepted,coordinate_500m,35.121822402913615,0.7549802371541503,272784,"1 waddells lane, Singleton, NSW, 2330","{""charger_capacities"": ""100 kW"", ""number_of_plugs"": 2.0, ""operator"": ""Everty"", ""plug_types"": ""CCS (Type 2)""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
973,,"Walton Lane, Picton NSW 2571",NRMA Electric,2,DC,50 kW,-34.16828833,150.6109429,Wollondilly Shire Council,2571.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,9.26662202262421,0.890909090909091,161843,"5 Walton Lane, Picton, NSW, 2571","{""charger_capacities"": ""50 kW"", ""number_of_plugs"": 1.0, ""operator"": ""NRMA"", ""plug_types"": ""CCS (Type 2); CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
974,,"Western Motorway, Sydney NSW 2766",Ampol,15,DC,240 kW,-33.80154859,150.886,Blacktown City Council,2766.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,168.55368362739188,0.0,13036304448,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 10, ""opening_hours"": """", ""operator"": ""AmpCharge"", ""osm_last_updated"": ""2026-05-07"", ""plug_types"": ""CCS|CHAdeMO""}",accepted,coordinate_500m,168.55368362739188,0.0,13036304448,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 10, ""opening_hours"": """", ""operator"": ""AmpCharge"", ""osm_last_updated"": ""2026-05-07"", ""plug_types"": ""CCS|CHAdeMO""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
975,,"William Street, Sydney NSW 2046",Evie Networks,2,DC,75 kW,-33.86864269,151.1185836,"Canada Bay Council, City of",2046.0,Existing Fast Chargers,unmatched,unmatched,,,,,{},accepted,coordinate_500m,3.6983707981380562,0.0,13586251301,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2026-07-09"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,3.6983707981380562,0.0,13586251301,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": null, ""opening_hours"": ""24/7"", ""operator"": ""Evie Networks"", ""osm_last_updated"": ""2026-07-09"", ""plug_types"": ""CCS""}",unmatched,unmatched,,,,,{},unmatched,unmatched,,,,,{},accepted,accepted
976,,"Wingewarra Street, Dubbo NSW 2830",NRMA Electric,2,DC,50 kW,-32.24936341,148.6091872,Dubbo Regional Council,2830.0,Existing Fast Chargers,accepted,coordinate_and_fuzzy_address,65.22766511706796,0.8882352941176471,121546,"76 Wingewarra Street, Dubbo, 2830","{""charger_capacities"": ""120 kW"", ""number_of_plugs"": 4.0, ""operator"": ""Tesla (including non-tesla)"", ""plug_types"": ""CCS (Type 2)""}",accepted,coordinate_500m,15.724000827505803,0.0,6759463884,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2026-06-11"", ""plug_types"": ""CCS""}",accepted,coordinate_500m,15.724000827505803,0.0,6759463884,,"{""access_condition"": ""Free Access"", ""charger_capacities"": null, ""number_of_plugs"": 2, ""opening_hours"": """", ""operator"": ""NRMA"", ""osm_last_updated"": ""2026-06-11"", ""plug_types"": ""CCS""}",accepted,coordinate_and_fuzzy_address,171.8540199403502,0.8767441860465117,d1cbdd86-205d-4538-b287-34032bf74788-mLm7w23qbPwboEaNKjKEtS3N_wNb7njK5rwN,"Wingewarra St, Dubbo, 2830","{""charger_capacities"": 22.0, ""number_of_plugs"": 1, ""operator"": """", ""plug_types"": ""Type2"", ""status_counts"": ""{\""Available\"": 1}""}",unmatched,unmatched,,,,,{},accepted,accepted
