index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
963,"The Boulevarde, Sydney, 2216","The Boulevarde, Sydney NSW 2216",The Boulevarde Brighton-Le-Sands New South Wales 2216,The Boulevarde,Brighton-Le-Sands,New South Wales,2216.0,,Exploren,-33.9612503,151.154957,4,7,3,28,53,25
964,"Unicentre Ln, Wollongong, 2500","Unicentre Lane, Wollongong NSW 2500",Unicentre Road Keiraville New South Wales 2500,Unicentre Road,Keiraville,New South Wales,2500.0,,Chargefox,-34.40769974,150.8806396,4,7,3,30,46,16
966,"University Dr, Newcastle, 2308","University Drive, Newcastle NSW 2308",University Drive Callaghan New South Wales 2308,University Drive,Callaghan,New South Wales,2308.0,,Chargefox,-32.89554259,151.703996,4,7,3,30,47,17
972,"Wallace Lane, Canobolas, 2800","Wallace Lane, Canobolas NSW 2800",Wallace Lane Canobolas New South Wales 2800,Wallace Lane,Canobolas,New South Wales,2800.0,,Porsche Smart Mobility,-33.33368373,149.0435355,4,7,3,29,43,14
979,"Wyong Rd, Central Coast, 2261","Wyong Road, Central Coast NSW 2261",Mingara Drive Tumbi Umbi New South Wales 2261,Mingara Drive,Tumbi Umbi,New South Wales,2261.0,,BP,-33.36284489,151.4442893,5,8,3,29,45,16
1122,"28 B55, Mudgee NSW 2850","28 B55, Mudgee NSW 2850",5B Sydney Road Mudgee New South Wales 2850,5B Sydney Road,Mudgee,New South Wales,2850.0,SPS Solar Pumping Solutions,Non-networked,-32.6064384,149.5987968,5,8,3,23,42,19
520,"40 Kingsway, Sydney, 2099","40 Kingsway, Sydney NSW 2099",Kingsway Dee Why New South Wales 2099,Kingsway,Dee Why,New South Wales,2099.0,,Tesla,-33.75031336,151.2863123,4,7,3,25,37,12
618,"55 North Steyne, Sydney, 2095","55 North Steyne, Sydney NSW 2095",92 North Steyne Sydney New South Wales 2095,92 North Steyne,Sydney,New South Wales,2095.0,,Tesla,-33.7915586,151.286988,5,8,3,29,43,14
935,"Princes Hwy, Ulladulla, 2539","Princes Highway, Ulladulla NSW 2539",Princes Highway Ulladulla New South Wales 2539,Princes Highway,Ulladulla,New South Wales,2539.0,,Exploren,-35.36842147,150.4706086,4,7,3,28,46,18
937,"Prospect St, Holbrook, 2644","Prospect Street, Holbrook NSW 2644",Raymond Street Holbrook New South Wales 2644,Raymond Street,Holbrook,New South Wales,2644.0,,NRMA,-35.7181522,147.316019,4,7,3,27,44,17
939,"Railway St, Sydney, 2067","Railway Street, Sydney NSW 2067",Railway Street Sydney New South Wales 2067,Railway Street,Sydney,New South Wales,2067.0,,Chargefox,-33.79441046,151.1801622,4,7,3,24,42,18
938,"Queen Elizabeth Dr, Sydney, 2026","Queen Elizabeth Drive, Sydney NSW 2026",Campbell Parade Bondi Beach New South Wales 2026,Campbell Parade,Bondi Beach,New South Wales,2026.0,,Chargefox,-33.89078083,151.2763093,5,8,3,32,48,16
940,"Rankine St, Crescent Head, 2440","Rankine Street, Crescent Head NSW 2440",May Street Crescent Head New South Wales 2440,May Street,Crescent Head,New South Wales,2440.0,,EVX,-31.18968373,152.9784444,5,8,3,31,45,14
