OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_number_of_plugs,external_charger_capacity,external_opening_hours,external_latitude,external_longitude,augmentation_review_reason
,,"2 Quay St, Sydney, 2000",Tesla,6,AC,19 kW,-33.87969174,151.2027187,"Sydney, Council of the City of",2000,Existing Destination Chargers,review,coordinate_candidate,0.5,True,558.0,8.10708405869207,8.10708405869207,233.91181196482307,Peclet local snapshot (experimental),DC675,Wilson Parking Market City charger,"9-13 Hay St, Haymarket NSW 2000, Australia",Tesla Destination,Tesla,6.0,22 kW,,-33.879665,151.202637,nearest=8.107m; gap=233.912m; manual confirmation required
,,"2 Riddell St, Sydney, 2023",Chargefox,2,DC,40 kW,-33.88578883,151.2573263,Woollahra Municipal Council,2023,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1608.0,306.67226516816527,306.67226516816527,62.414101961694996,Peclet local snapshot (experimental),HC2201,Victoria Rd Bellevue Hill charger,"165 Victoria Rd
Bellevue Hill NSW 2023
Australia",PLUS ES,,1.0,7 kW,,-33.8883,151.2587,nearest=306.672m; gap=62.414m; manual confirmation required
,,"2 Robsons Rd, Wollongong, 2500",Chargefox,4,AC,22 kW,-34.4040561,150.8745285,Wollongong City Council,2500,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1946.0,497.9701410389878,497.9701410389878,1056.1748756444026,Peclet local snapshot (experimental),HC2097,Early Start Discovery Space (Building 21) University of Wollongong Northfields Ave Wollongong charger,"Early Start Discovery Space (Building 21) University of Wollongong
Northfields Ave
Wollongong NSW 2522
Australia",Chargefox,,4.0,AC,,-34.408,150.8771,nearest=497.970m; gap=1056.175m; manual confirmation required
,,"2 Rosenthal Ave, Lane Cove NSW 2066",Evie,4,DC,50 kW,-33.813936,151.169298,Lane Cove Municipal Council,2066,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,1459.0,0.0,0.0,4.9668219628765815,Peclet local snapshot (experimental),FC98,The Canopy Lane Cove charger,"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,6AM to 1AM,-33.813936,151.169298,
,,"2 Rosenthal Ave, Sydney, 2066",Tesla,3,AC,19 kW,-33.8137508,151.1687788,Lane Cove Municipal Council,2066,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1459.0,52.200712488369405,52.200712488369405,0.6287677558396325,Peclet local snapshot (experimental),FC98,The Canopy Lane Cove charger,"2 Rosenthal Ave, Lane Cove NSW 2066, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,6AM to 1AM,-33.813936,151.169298,nearest=52.201m; gap=0.629m; manual confirmation required
,,"2 Sentry Dr, Sydney, 2768",Tesla,3,AC,22 kW,-33.71879184,150.9206707,Blacktown City Council,2768,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1339.0,56.322450514727656,56.322450514727656,146.48293904342665,Peclet local snapshot (experimental),DC422,2 Sentry Drive Parking charger,"2 Sentry Drive, Stanhope Gardens NSW 2768, Australia",Chargefox,Type 2,1.0,7 kW,Open 24/7,-33.7183584,150.9209858,nearest=56.322m; gap=146.483m; manual confirmation required
,,"2 Sentry Dr, Sydney, 2768",Chargefox,4,DC,40 kW,-33.71984389,150.918979,Blacktown City Council,2768,Existing Fast Chargers,review,ambiguous_exact_address,0.5,True,934.0,14.10065656518305,14.10065656518305,1.0043329731769308,Peclet local snapshot (experimental),DC474,Stanhope Village Shopping Centre (1) charger,"2 Sentry Dr, Stanhope Gardens NSW 2768, Australia",Tesla Destination,Type 2,2.0,22 kW,,-33.71997,150.918963,nearest=14.101m; gap=1.004m; manual confirmation required
,,"2 Shepherd St, Ulladulla, 2539",Tesla,3,AC,22 kW,-35.33970075,150.4727307,Shoalhaven City Council,2539,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,193.0,0.10481613507364275,0.10481613507364275,103.1298523149381,Peclet local snapshot (experimental),DC889,Motel Molly - Laid back luxury charger,"2 Shepherd St, Mollymook, NSW 2539",Tesla Destination,Tesla,3.0,22 kW,8:30am-5:30pm,-35.3397,150.47273,
,,"2 Stewart St, Lithgow, 2790",Evie,4,DC,150 kW,-33.48184889,150.1361812,"Lithgow Council, City of",2790,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1205.0,1516.417503358581,1516.417503358581,836.0462141824203,Peclet local snapshot (experimental),HC2574,Lithgow St Lithgow charger,"2C Lithgow St
Lithgow NSW 2790
Australia",EVSE,,4.0,AC,,-33.4853,150.152,nearest=1516.418m; gap=836.046m; manual confirmation required
,,"2 Stockton St, Nelson Bay, 2315",Chargefox,2,AC,22 kW,-32.72076081,152.1434995,Port Stephens Council,2315,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,904.0,2.67583026291821,2.67583026291821,63.27506519007713,Peclet local snapshot (experimental),DC322,Seabreeze Hotel charger,"2 Stockton Street, Nelson Bay 2315, Australia",Chargefox,Type 2,2.0,22 kW,,-32.72075263,152.1435264,
,,"2 Ween St, Peak Hill, 2869",Tesla,1,AC,22 kW,-32.72124929,148.1908148,Parkes Shire Council,2869,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1659.0,0.08149109059125807,0.08149109059125807,44765.82306770128,Peclet local snapshot (experimental),DC134,Peak Hill Caravan Park charger,"2 Ween St, Peak Hill, NSW, Australia, NT 2869",Tesla Destination,Type 2,1.0,22 kW,,-32.721249,148.190814,
,,"2 West St, Bermagui, 2546",Tesla,2,AC,17 kW,-36.42591296,150.0634715,Bega Valley Shire Council,2546,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,625.0,0.11574187374543402,0.11574187374543402,588.003288592473,Peclet local snapshot (experimental),DC973,The Anchorage charger,"2 West St, Bermagui NSW 2546, Australia",Tesla Destination,Tesla,2.0,17 kW,,-36.425912,150.063471,
,,"20 Bay St, Byron Bay, 2481",Tesla,2,AC,6 kW,-28.64166771,153.6146847,Byron Shire Council,2481,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,12.0,0.10440006474359408,0.10440006474359408,103.97732628666344,Peclet local snapshot (experimental),DC34,Beach Suites Byron Bay charger,"20 Bay St, Byron Bay NSW 2481, Australia",Tesla Destination,Tesla,2.0,5 kW,,-28.641667,153.614684,
,,"20 Bridge St, Sydney, 2073",Chargefox,2,AC,6 kW,-33.75068373,151.1446456,Ku-ring-gai Council,2073,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1345.0,0.09831663001440132,0.09831663001440132,15.585975778304146,Peclet local snapshot (experimental),DC466,SG Fleet Pymble - Tenants only charger,"20 Bridge Street, Pymble 2073",Chargefox,Type 2,2.0,7 kW,,-33.750683,151.144645,nearest=0.098m; gap=15.586m; manual confirmation required
,,"20 Ocean St, Merewether, NSW 2291",EVX,4,AC,11 kW,-32.94476481,151.7605355,Newcastle City Council,NSW 2291,Existing Destination Chargers,review,coordinate_candidate,0.5,True,50.0,30.043691001230577,30.043691001230577,1571.150277273718,Peclet local snapshot (experimental),DC198,EVX Dixon Park charger,Dixon Park Beach Carpark,EVX,Type 2,2.0,kW,Open 24/7,-32.94464453,151.7602472,nearest=30.044m; gap=1571.150m; manual confirmation required
,,"20 Owen St, Sydney, 2761",Chargefox,2,DC,47 kW,-33.75074779,150.8580751,Blacktown City Council,2761,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1315.0,5.342332928733822,5.342332928733822,1800.1563712110483,Peclet local snapshot (experimental),DC343,Blacktown Animal Relocation Centre (BARC) charger,"4 Rayben St, Glendenning NSW 2761, Australia",,Type 2,2.0,kW,Open 24/7,-33.75079421,150.8580602,nearest=5.342m; gap=1800.156m; manual confirmation required
,,"20 Park St, Port Macquarie, 2444",Tesla,2,AC,22 kW,-31.42759564,152.8975035,Port Macquarie-Hastings Council,2444,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1279.0,52.047419230245595,52.047419230245595,1.966520977232726,Peclet local snapshot (experimental),DC132,Sails Resort Port Macquarie by Rydges charger,"20 Park St, Port Macquarie NSW 2444",,Type 2,2.0,kW,,-31.42742371,152.8980137,nearest=52.047m; gap=1.967m; manual confirmation required
,,"20 Phoenix Street, Sydney, 2066",Exploren,1,AC,22 kW,-33.81394499,151.1723493,Lane Cove Municipal Council,2066,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,583.0,0.11351841676765304,0.11351841676765304,124.57277035014704,Peclet local snapshot (experimental),DC798,Intellihub - 20 Phoenix St charger,"20 Phoenix St, Lane Cove NSW 2066, Australia",Exploren,Type 2,1.0,22 kW,Open 24/7,-33.813944,151.172349,
,,"20 Smidmore St, Marrickville NSW 2204",Evie,4,DC,50 kW,-33.907982,151.170899,Inner West Council,2204,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,1851.0,0.0,0.0,71.21069898599148,Peclet local snapshot (experimental),FC97,Marrickville Metro Shopping Centre charger,"34 Victoria Rd, Marrickville NSW 2204, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,,-33.907982,151.170899,
,,"20 Wentworth St, Sydney, 2142",Tesla,2,AC,19 kW,-33.83269174,151.0215005,"Parramatta, Council of the City of",2142,Existing Destination Chargers,review,coordinate_candidate,0.5,True,515.0,765.4954192631658,765.4954192631658,682.0497053595491,Peclet local snapshot (experimental),DC497,Granville Place charger,"31 East Street, Granville NSW 2142, Australia",,Type 2,3.0,22 kW,Open 24/7,-33.832578,151.013214,nearest=765.495m; gap=682.050m; manual confirmation required
,,"200 Crown St, Wollongong NSW 2500",Evie,4,DC,50 kW,-34.423975,150.892316,Wollongong City Council,2500,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,1458.0,0.0,0.0,71.94785344639995,Peclet local snapshot (experimental),FC96,Wollongong Central - Regent St Entrance charger,"Regent St, Wollongong NSW 2500, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,6:00AM - 12:00AM,-34.423975,150.892316,
,,"200 Gilchrist Drive, Sydney, 2560",Tesla,2,AC,22 kW,-34.07462967,150.7968068,Campbelltown City Council,2560,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1359.0,17.39965050864102,17.39965050864102,800.1648453519981,Peclet local snapshot (experimental),DC546,Macarthur Square Shopping Centre charger,"200 Gilchrist Dr, Campbelltown NSW 2560, Australia",Tesla Destination,Tesla,2.0,22 kW,Open 24/7,-34.074784,150.796838,
,,"200 Horderns Rd, Bowral, 2576",Tesla,1,AC,8 kW,-34.49912817,150.4813033,Wingecarribee Shire Council,2576,Existing Destination Chargers,accepted,coordinate_exact,1.0,False,597.0,0.0,0.03336363715569715,6081.127161722102,Peclet local snapshot (experimental),DC843,Milton Park Country House charger,"Horderns Rd, Milton Park, Australia, NSW 2575",Tesla Destination,Tesla; Type 2,2.0,8 kW,,-34.499128,150.481303,
,,"201 Manning River Drive, Taree, 2430",Evie,4,DC,150 kW,-31.94333438,152.4706146,Mid-Coast Council,2430,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,1062.0,4.970597114811345,4.970597114811345,1133.656946108581,Peclet local snapshot (experimental),FC74,Taree South Service Centre charger,"201 Manning River Dr, Glenthorne NSW 2430, Australia",Evie Networks,Tesla; Type 2,4.0,184 - 350 kW,Open 24/7,-31.94335335,152.4706623,
,,"201 Sloane St, Goulburn , 2580",Tesla,16,DC,130 kW,-34.75552357,149.720998,Goulburn Mulwaree Council,2580,Existing Fast Chargers,review,ambiguous_exact_address,0.5,True,1088.0,8.264609137530863,8.264609137530863,70.18848818851131,Peclet local snapshot (experimental),FC224,Goulburn Visitor Information Centre charger,"201 Sloane St, Goulburn NSW 2580, Australia",Tesla Supercharge,Type 2; J-1772,16.0,120 kW,Open 24/7,-34.755597,149.720984,nearest=8.265m; gap=70.188m; manual confirmation required
,,"201 Sussex St, Sydney, 2000",Chargefox,2,AC,22 kW,-33.871959,151.2039029,"Sydney, Council of the City of",2000,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,150.0,9.457681128616372,9.457681128616372,147.85887327888804,Peclet local snapshot (experimental),DC707,Darling Park - Wilson Parking charger,"201 Sussex St, Sydney NSW 2000, Australia",Chargefox,Type 2,2.0,22 kW,,-33.871993,151.203809,
,,20-22 Camden Rd Campbelltown NSW 2560 Australia,Tesla,12,DC,175 kW,-34.0725934,150.8078816,Campbelltown City Council,2560,Fast Charging R1,accepted,address_exact_unique,0.97,False,1569.0,1.8468250979118253,1.8468250979118253,125.19130074745274,Peclet local snapshot (experimental),HC2734,Camden Rd Campbelltown charger,20-22 Camden Rd Campbelltown NSW 2560 Australia,Tesla,,12.0,DC,,-34.0726,150.8079,
,,"203 Victoria St, Potts Point, 2011",Tesla,4,AC,6 kW,-33.87458063,151.2218569,"Sydney, Council of the City of",2011,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,972.0,0.16751495520837387,0.16751495520837387,266.5676288300536,Peclet local snapshot (experimental),DC652,Holiday Inn Sydney - Potts Point charger,"203 Victoria St, Potts Point NSW 2011, Australia",,Type 2,4.0,kW,Open 24/7,-33.8745795,151.2218557,
,,"2032 Camden Valley Way, Sydney, 2174",Exploren,8,AC,22 kW,-33.95508313,150.8622653,Liverpool City Council,2174,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1910.0,259.4273112657831,259.4273112657831,22.964265728383396,Peclet local snapshot (experimental),HC2652,Camden Valley Way Edmondson Park charger,"2072 Camden Valley Way, Edmondson Park, NSW, 2174",Ampol,,2.0,125 kW,,-33.9559,150.8649,nearest=259.427m; gap=22.964m; manual confirmation required
,,"205 Kelly St, Scone, 2337",Tesla,2,AC,22 kW,-32.05161266,150.8670891,Upper Hunter Shire Council,2337,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,871.0,0.0739913268324392,0.0739913268324392,114.44572009534033,Peclet local snapshot (experimental),DC133,Portman House charger,"205 Kelly St, Scone NSW 2337, Australia",Tesla Destination,Tesla,2.0,22 kW,,-32.051612,150.867089,
,,"205 Old Hume Hwy, Mittagong, 2575",Evie,4,DC,150 kW,-34.44672777,150.436991,Wingecarribee Shire Council,2575,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,1462.0,2.3234571074474646,2.3234571074474646,622.902322987459,Peclet local snapshot (experimental),FC107,HomeCo Highlands charger,"205 Old Hume Hwy, Mittagong NSW 2575, Australia",Evie Networks,Type 2,4.0,150 kW,Open 24/7,-34.44673164,150.4370159,
,,"205 O'Riordan St, Sydney, 2020",Tesla,4,AC,22 kW,-33.927953,151.1871321,Bayside Council,2020,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,569.0,25.36936587486357,25.36936587486357,76.13462514214913,Peclet local snapshot (experimental),DC739,Ibis Sydney Airport charger,"205 O'Riordan St, Mascot NSW 2020, Australia",,Type 2,4.0,kW,Open 24/7,-33.92798288,151.1868595,
,,"2072 Camden Valley Way, Edmondson Park, NSW, 2174",Ampol,2,DC,125 kW,-33.9558559,150.8648944,Liverpool City Council,2174,ARENA - Driving the Nation,review,ambiguous_exact_address,0.5,True,1910.0,4.93082266063319,4.93082266063319,44.007362256223345,Peclet local snapshot (experimental),HC2652,Camden Valley Way Edmondson Park charger,"2072 Camden Valley Way, Edmondson Park, NSW, 2174",Ampol,,2.0,125 kW,,-33.9559,150.8649,nearest=4.931m; gap=44.007m; manual confirmation required
,,"2090 Broke Rd, Pokolbin, 2320",NRMA,4,DC,75 kW,-32.77342947,151.2982713,Cessnock City Council,2320,Existing Fast Chargers,accepted,coordinate_exact,1.0,False,1467.0,0.0,0.05931264011769544,283.79998347183243,Peclet local snapshot (experimental),FC152,Hunter Valley Gardens Car Park charger,"Hunter Valley Gardens carpark, 2090 Broke Rd, Pokolbin NSW 2320, Australia",NRMA,Tesla; Type 2,4.0,50 kW,Open 24/7,-32.773429,151.298271,
,,"21 Alice St, Moree, 2400",Tesla,2,AC,19 kW,-29.47081786,149.847045,Moree Plains Shire Council,2400,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,420.0,0.09562763692571193,0.09562763692571193,209.68493801057193,Peclet local snapshot (experimental),DC7,Econo Lodge Moree Spa Motor Inn charger,"21 Alice St, Moree NSW 2400, Australia",Tesla Destination,Tesla,1.0,7 kW,Open 24/7,-29.470817,149.847045,
,,"21 Ayrshire Cres, Newcastle, 2304",EVUp,2,AC,23 kW,-32.87689894,151.7117558,Newcastle City Council,2304,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1672.0,1500.5119558079662,1500.5119558079662,210.714587644522,Peclet local snapshot (experimental),DC169,Hunter Wetlands Centre charger,"412 Sandgate Rd, Shortland NSW 2307, Australia",,Type 2; J-1772,2.0,kW,9amâ“4pm,-32.87626,151.695706,nearest=1500.512m; gap=210.715m; manual confirmation required
,,"21 Church St, Sydney, 2112",Exploren,1,AC,22 kW,-33.81449254,151.1046486,"Ryde, Council of the City of",2112,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,582.0,15.805988906346691,15.805988906346691,226.29412064542512,Peclet local snapshot (experimental),DC791,Church St Car Park Top Ryde charger,"21 Church St, Ryde NSW 2112, Australia",Exploren,Type 2,1.0,22 kW,Open 24/7,-33.814552,151.104804,
,,"21 Combo St, Goolgowi, 2652",Exploren,4,AC,22 kW,-33.97943248,145.7069419,Carrathool Shire Council,2652,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1172.0,101.95850117825829,101.95850117825829,45606.387843028904,Peclet local snapshot (experimental),HC2459,Combo St Goolgowi charger,"Combo St
Goolgowi NSW 2652
Australia",Exploren,,2.0,AC,,-33.9803,145.7073,nearest=101.959m; gap=45606.388m; manual confirmation required
,,"21 Hague Ave, Albury, 2640",Exploren,1,AC,22 kW,-36.06470575,146.9342242,Albury City Council,2640,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1627.0,164.03703389664363,164.03703389664363,1519.4577413205486,Peclet local snapshot (experimental),HC2501,Mate St North Albury charger,"836 Mate St
North Albury NSW 2640
Australia",Exploren,,1.0,AC,,-36.066,146.9351,nearest=164.037m; gap=1519.458m; manual confirmation required
,,"21 Morgo St, Urunga, 2455",EVX,2,AC,22 kW,-30.49581986,153.022,Bellingen Shire Council,2455,Existing Destination Chargers,review,coordinate_candidate,0.5,True,832.0,10098.115424586143,10098.115424586143,4232.444865324302,Peclet local snapshot (experimental),HC2226,Martells Rd Brierfield charger,"417 Martells Rd
Brierfield NSW 2454
Australia",Non-networked,,1.0,AC,,-30.5155,152.9191,nearest=10098.115m; gap=4232.445m; manual confirmation required
,,"21 Roselands Ave, Sydney, 2196",Exploren,2,AC,22 kW,-33.93547052,151.0714184,Canterbury Bankstown Council,2196,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1001.0,0.06859343960499471,0.06859343960499471,210.4059123412387,Peclet local snapshot (experimental),DC804,The Lantern Club charger,"21 Roselands Ave, Roselands NSW 2196, Austral, Roselands 2196",Exploren,Type 2,2.0,22 kW,,-33.93547,151.071418,
,,"2-10 Wentworth St, Sydney, 2150",Exploren,6,AC,22 kW,-33.81921626,151.0047057,"Parramatta, Council of the City of",2150,Existing Destination Chargers,review,coordinate_candidate,0.5,True,948.0,34.02373526238572,34.02373526238572,164.8356832962519,Peclet local snapshot (experimental),DC534,Parramatta Station Car Park charger,"17 Wentworth St, Parramatta NSW 2150, Australia",,Type 2,3.0,22 kW,Open 24/7,-33.818911,151.004731,nearest=34.024m; gap=164.836m; manual confirmation required
,,"211 Lake Entrance Rd, Shellharbour City Centre, 2529",Tesla,4,AC,6 kW,-34.56390495,150.8381191,Shellharbour City Council,2529,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1809.0,11.099932587379739,11.099932587379739,71.77608343488544,Peclet local snapshot (experimental),DC868,Stockland Shellharbour - West charger,"211 Lake Entrance Rd, Shellharbour City Centre NSW 2529, Australia",Tesla Destination,Tesla,4.0,6 kW,4:00am - 1:00am,-34.563997,150.838166,nearest=11.100m; gap=71.776m; manual confirmation required
,,"211 Lake Entrance Rd, Shellharbour City Centre, 2529",Ampol,10,DC,150 kW,-34.56639944,150.8394074,Shellharbour City Council,2529,Existing Fast Chargers,review,ambiguous_exact_address,0.5,True,601.0,237.01863564606285,237.01863564606285,53.29921917095177,Peclet local snapshot (experimental),DC872,Stockland Shellharbour (1) charger,"211 Lake Entrance Road, Shellharbour City Centre, New South Wales 2529",,Type 2,1.0,kW,Open 24/7,-34.56431323,150.8388763,nearest=237.019m; gap=53.299m; manual confirmation required
,,"2-110 Ben Boyd Pde, Boydtown, 2551",Exploren,1,AC,22 kW,-37.11146251,149.8802072,Bega Valley Shire Council,2551,Existing Destination Chargers,review,coordinate_candidate,0.5,True,628.0,922.3268525153397,922.3268525153397,2933.376278158956,Peclet local snapshot (experimental),DC980,Seahorse Inn Hotel & Villas charger,"Boydtown Park Rd, Eden NSW 2551, Australia",,Type 2,1.0,10 kW,Open 24/7,-37.1032,149.879292,nearest=922.327m; gap=2933.376m; manual confirmation required
,,"2-14 Cliff Rd, Wollongong, 2500",Tesla,4,AC,22 kW,-34.41458363,150.9002392,Wollongong City Council,2500,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1005.0,25.626494509647724,25.626494509647724,458.7349915065244,Peclet local snapshot (experimental),DC822,Novotel Wollongong Northbeach charger,"2-14 Cliff Rd, North Wollongong NSW 2500, Australia",,Type 2,4.0,kW,Open 24/7,-34.414544,150.899964,
,,"2197 Giinagay Way, Nambucca Heads, 2448",Tesla,2,AC,22 kW,-30.65431636,152.986997,Nambucca Valley Council,2448,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1657.0,90.05264906923647,90.05264906923647,1774.148679077393,Peclet local snapshot (experimental),DC119,Nambucca Plaza Shopping Centre charger,"2191 Giinagay Way, Nambucca Heads NSW 2448, Australia",Tesla Destination,Tesla,2.0,22 kW,Open 24/7,-30.65448,152.987919,nearest=90.053m; gap=1774.149m; manual confirmation required
,,"22 Buchanan St, Kandos, 2848",Tesla,1,AC,22 kW,-32.86006011,149.9730971,Mid-Western Regional Council,2848,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,40.0,39.567938818112815,39.567938818112815,6909.606572062085,Peclet local snapshot (experimental),DC148,Kandos Museum charger,"22 Buchanan St, Kandos NSW 2848, Australia",Tesla Destination,Tesla,1.0,22 kW,,-32.859938,149.973495,
,,"22 Carillon St, Camperdown, 2042",EVX,2,AC,22 kW,-33.89123228,151.1868509,"Sydney, Council of the City of",2042,Existing Destination Chargers,review,coordinate_candidate,0.5,True,544.0,24.303716137966155,24.303716137966155,577.1798570570598,Peclet local snapshot (experimental),DC600,22 Carillion Ave Parking charger,"22 Carillion Avenue Camperdown, NSW 2006, Australia",EVX,Type 2,2.0,kW,,-33.89129591,151.1871028,nearest=24.304m; gap=577.180m; manual confirmation required
,,"22 Cook Ln, Sydney, 2223",JOLT,2,DC,25 kW,-33.9701502,151.0801331,Georges River Council,2223,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1472.0,8.97461786450805,8.97461786450805,1256.4964491686283,Peclet local snapshot (experimental),FC173,Cook St Parking charger,"22 Cook st, Mortdale NSW 2223, Australia",JOLT,Tesla; Type 2,2.0,25 kW,Open 24/7,-33.970228,151.080159,nearest=8.975m; gap=1256.496m; manual confirmation required
,,"22 Giffnock Ave, Sydney, 2113",Exploren,1,AC,22 kW,-33.78299204,151.1227908,"Ryde, Council of the City of",2113,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1721.0,24.07898389940196,24.07898389940196,116.5590239027995,Peclet local snapshot (experimental),DC435,Giffnock Avenue charger,"22 Giffnock Ave, Macquarie Park NSW 2113, Aus, Macquarie Park 2113",Exploren,Type 2,1.0,22 kW,Open 24/7,-33.782797,151.122904,
,,"220 Taren Point Rd, Caringbah NSW 2229",Evie,4,DC,75 kW,-34.02927306,151.1220736,Sutherland Shire Council,2229,ARENA - Driving the Nation,accepted,address_exact_unique,0.97,False,1563.0,3.8590505342379275,3.8590505342379275,122.6339151893517,Peclet local snapshot (experimental),HC2648,Taren Point Rd Caringbah charger,"220 Taren Point Rd, Caringbah NSW 2229",Evie,,4.0,75 kW,,-34.0293,151.1221,
,,"221 Wolseley St, Jamisontown NSW 2750",Evie,4,DC,350 kW,-33.770295,150.673823,Penrith City Council,2614,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,1455.0,0.0,0.0,195.2993586919299,Peclet local snapshot (experimental),FC84,Shell Jamisontown charger,"221 Wolseley St, Jamisontown NSW 2750, Australia",Evie Networks,Tesla; Type 2,4.0,184 - 350 kW,Open 24/7,-33.770295,150.673823,
,,"22-24 Park Ave, Sydney, 2134",JOLT,2,DC,25 kW,-33.87384989,151.1019449,Burwood Council,2134,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,247.0,3.8800042325489184,3.8800042325489184,117.15052639735454,Peclet local snapshot (experimental),FC184,Park Ave Parking charger,"30 Park Ave, Burwood NSW 2134, Australia",JOLT,Tesla; Type 2,2.0,25 kW,Open 24/7,-33.873878,151.10192,
,,"224 Princes Hwy, Wollongong, 2519",BP,2,DC,75 kW,-34.40332537,150.8914635,Wollongong City Council,2519,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,1055.0,3.1234961906470864,3.1234961906470864,778.4272228102127,Peclet local snapshot (experimental),FC58,BP Fairy Meadow charger,"Northgate Ctr, 224/224 Princes Hwy, Fairy Meadow NSW 2519, Australia",bp pulse,Type 2,2.0,75 kW,Open 24/7,-34.40330246,150.8914438,
,,"224 Prospect Hwy, Seven Hills NSW 2147",Evie,4,DC,150 kW,-33.77578997,150.9330864,Cumberland Council,2147,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,664.0,0.0,0.0,67.01818819010322,Peclet local snapshot (experimental),FC114,Seven Hills Plaza charger,"224 Prospect Hwy, Seven Hills NSW 2147, Australia",Evie Networks,Type 2,4.0,150 kW,Open 24/7,-33.77578997,150.9330864,
,,"224 Railway Pde, Sydney, 2166",Tesla,2,AC,19 kW,-33.89670075,150.938,Fairfield City Council,2166,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,121.0,121.3402947158465,121.3402947158465,319.916468866349,Peclet local snapshot (experimental),DC526,Cabramatta Hotel charger,"224 Railway Parade, Cabramatta, NSW, Australia, NSW 2166, Australia",Tesla Destination,Tesla,2.0,4 kW,Open 24/7,-33.895619,150.938173,
,,"225 George St, Sydney, 2000",Chargestar,4,AC,22 kW,-33.86213918,151.2072993,"Sydney, Council of the City of",2000,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,992.0,77.97823763847883,77.97823763847883,6.178512739764983,Peclet local snapshot (experimental),DC758,Grosvenor Place (2) charger,"225 George St, The Rocks NSW 2000, Australia",,Type 2,10.0,kW,,-33.86275401,151.2068931,nearest=77.978m; gap=6.179m; manual confirmation required
,,"225 George St, Sydney, 2000",Saascharge,4,AC,22 kW,-33.86262867,151.2072362,"Sydney, Council of the City of",2000,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,1400.0,29.650456346020697,29.650456346020697,4.95942311400205,Peclet local snapshot (experimental),DC759,Grosvenor Place - Wilson Parking (7 Essex St) charger,"225 George Street, The Rocks NSW 2000, Australia",Saascharge International GmbH,Type 2,4.0,22 kW,Monday to Friday 6am-8pm,-33.862895,151.207252,nearest=29.650m; gap=4.959m; manual confirmation required
