index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude
889,"Kowara Cres, Merimbula, 2548","Kowara Crescent, Merimbula NSW 2548",Kowara Crescent Merimbula New South Wales 2548,Kowara Crescent,Merimbula,New South Wales,2548,,EVUp,-36.88414419,149.9032943
890,"Lake Haven Dr, Lake Haven NSW 2263","Lake Haven Drive, Lake Haven NSW 2263",Lake Haven Drive Lake Haven New South Wales 2263,Lake Haven Drive,Lake Haven,New South Wales,2263,,Engie,-33.2445959,151.498974
891,"Lampe St, Talbingo, 2720","Lampe Street, Talbingo NSW 2720",Lampe Street New South Wales 2720,Lampe Street,,New South Wales,2720,,Chargefox,-35.58062367,148.3003804
892,"Larkin Ln, Lismore, 2480","Larkin Lane, Lismore NSW 2480",104-106 Keen Street Lismore New South Wales 2480,104-106 Keen Street,Lismore,New South Wales,2480,,Everty,-28.80843648,153.2793393
893,"Lauder St, Tumbarumba, 2653","Lauder Street, Tumbarumba NSW 2653",Lauder Street Tumbarumba New South Wales 2653,Lauder Street,Tumbarumba,New South Wales,2653,,Chargefox,-35.7735596,148.0094114
894,"Leisure Haven Caravan Pk, Woollamia, 2540","Leisure Haven Caravan Pk, Woollamia NSW 2540",785 Woollamia Road New South Wales 2540,785 Woollamia Road,,New South Wales,2540,,Exploren,-35.02311116,150.6615756
895,"Library Walk, Sydney, 2033","Library Walk, Sydney NSW 2033",Oval Lane Kensington New South Wales 2032,Oval Lane,Kensington,New South Wales,2032,,Chargefox,-33.91844849,151.2345085
896,"Link Road, Sydney, 2113","Link Road, Sydney NSW 2113",Link Road Macquarie Park New South Wales 2113,Link Road,Macquarie Park,New South Wales,2113,,Chargefox,-33.77552657,151.1094585
897,"Lovedale Rd, Lovedale, 2325","Lovedale Road, Lovedale NSW 2325",Lovedale Road Cessnock New South Wales 2325,Lovedale Road,Cessnock,New South Wales,2325,,Porsche Smart Mobility,-32.75337542,151.3714925
898,"M4 Motorway Westbound, Sydney, 2766","M4 Motorway Westbound, Sydney NSW 2766",Oporto Drive-Thru Eastern Creek New South Wales 2766,Oporto Drive-Thru,Eastern Creek,New South Wales,2766,,Ampol,-33.80214519,150.8802132
899,"Market St, Merimbula, 2548","Market Street, Merimbula NSW 2548",Market Street Merimbula New South Wales 2548,Market Street,Merimbula,New South Wales,2548,,Tesla,-36.89278383,149.9090891
900,"McFarlane St, Sydney, 2160","Mcfarlane Street, Sydney NSW 2160",Treves Street Merrylands New South Wales 2160,Treves Street,Merrylands,New South Wales,2160,,Tesla,-33.83346051,150.9873373
901,"Megalong Rd, Megalong Valley, 2785","Megalong Road, Megalong Valley NSW 2785",824 Megalong Road Blackheath New South Wales 2785,824 Megalong Road,Blackheath,New South Wales,2785,,Chargefox,-33.69583588,150.2530601
902,"Melyra Street, Grenfell, 2810","Melyra Street, Grenfell NSW 2810",Melyra Street Grenfell New South Wales 2810,Melyra Street,Grenfell,New South Wales,2810,,Exploren,-33.89200405,148.1607778
903,"Merewether St & Wharf Rd, Newcastle , 2300","Merewether Street & Wharf Road, Newcastle NSW 2300",21 Merewether Street Newcastle New South Wales 2300,21 Merewether Street,Newcastle,New South Wales,2300,,Tesla,-32.92522927,151.7732092
904,"Merry Beach Rd, Kioloa, 2539","Merry Beach Road, Kioloa NSW 2539",Brace Close New South Wales 2539,Brace Close,,New South Wales,2539,,Exploren,-35.56540945,150.371977
905,"Methul St N, Coolamon, 2701","Methul Street N, Coolamon NSW 2701",Methul Street North Coolamon New South Wales 2701,Methul Street North,Coolamon,New South Wales,2701,,Exploren,-34.81361066,147.2015485
906,"Milbrodale Road 1100, Broke, 2330","Milbrodale Road 1100, Broke NSW 2330",Milbrodale Road Broke New South Wales 2330,Milbrodale Road,Broke,New South Wales,2330,,ChargeHub,-32.75094099,151.0803403
907,"Mitchell Pde, Mollymook Beach, 2539","Mitchell Parade, Mollymook Beach NSW 2539",Mitchell Parade Mollymook Beach New South Wales 2539,Mitchell Parade,Mollymook Beach,New South Wales,2539,,Porsche Smart Mobility,-35.32252857,150.485036
908,"Moore St, Banksmeadow , 2019","Moore Street, Banksmeadow NSW 2019",Banks Avenue Eastgardens New South Wales 2036,Banks Avenue,Eastgardens,New South Wales,2036,,EVUp,-33.9452573,151.2222232
909,"Mortimer St, Mudgee, 2850","Mortimer Street, Mudgee NSW 2850",Farthing Lane Mudgee New South Wales 2850,Farthing Lane,Mudgee,New South Wales,2850,,NRMA,-32.59368073,149.5862633
910,"Mount View Rd, Mount View, 2325","Mount View Road, Mount View NSW 2325",Mount View Road Cessnock New South Wales,Mount View Road,Cessnock,New South Wales,,,Tesla,-32.83438043,151.2962412
911,"Mowamba Pl, Thredbo, 2625","Mowamba Place, Thredbo NSW 2625",17 Friday Drive New South Wales 2625,17 Friday Drive,,New South Wales,2625,,Tesla,-36.50483088,148.3046977
912,"Muir St, Medowie, 2318","Muir Street, Medowie NSW 2318",Muir Street Medowie New South Wales 2318,Muir Street,Medowie,New South Wales,2318,,Chargefox,-32.73893898,151.8673493
913,"Mulgoa Rd & Wolseley St, Sydney, 2750","Mulgoa Road & Wolseley Street, Sydney NSW 2750",Wolseley Street Jamisontown New South Wales 2750,Wolseley Street,Jamisontown,New South Wales,2750,,Tesla,-33.76959064,150.6717908
914,"Murray Rose Ave, Sydney, 2127","Murray Rose Avenue, Sydney NSW 2127",9 Murray Rose Avenue Sydney Olympic Park New South Wales 2127,9 Murray Rose Avenue,Sydney Olympic Park,New South Wales,2127,,NRMA,-33.84603808,151.0698058
915,"Napier St, Sydney, 2021","Napier Street, Sydney NSW 2021",Napier Street Paddington New South Wales 2021,Napier Street,Paddington,New South Wales,2021,,EVX,-33.88338043,151.220003
916,"NARELLAN RD CNR MAXWELL PL, Sydney, 2567","Narellan Road Cnr Maxwell Place, Sydney NSW 2567",Narellan Road Narellan New South Wales 2567,Narellan Road,Narellan,New South Wales,2567,,Ampol,-34.04010015,150.7435405
917,"Newbridge Road 216, Sydney, 2170","Newbridge Road 216, Sydney NSW 2170",Nuwarra Road Moorebank New South Wales 2170,Nuwarra Road,Moorebank,New South Wales,2170,,Ampol,-33.92932037,150.9551001
918,"North Ter, Sydney, 2200","North Ter, Sydney NSW 2200",Lady Cutler Avenue Bankstown New South Wales 2200,Lady Cutler Avenue,Bankstown,New South Wales,2200,,Chargefox,-33.91649454,151.0402563
919,"Nowra Rd, Moss Vale, 2577","Nowra Road, Moss Vale NSW 2577",Nowra Road Moss Vale New South Wales 2577,Nowra Road,Moss Vale,New South Wales,2577,,Porsche Smart Mobility,-34.59692397,150.4412503
920,"Oatley Railway Station, Oatley Pde, Oatley, New South Wales 2223, Australia","Oatley Railway Station, Oatley Parade, Oatley, New South Wales NSW 2223",Oatley Parade Oatley New South Wales 2223,Oatley Parade,Oatley,New South Wales,2223,,JOLT,-33.981453,151.079434
921,"Oberon St, Oberon, 2787","Oberon Street, Oberon NSW 2787",Oberon Street Oberon New South Wales 2787,Oberon Street,Oberon,New South Wales,2787,,ChargeHub,-33.70452257,149.8638138
922,"Obley Road, Dubbo, 2830","Obley Road, Dubbo NSW 2830",Obley Road Dubbo New South Wales 2830,Obley Road,Dubbo,New South Wales,2830,,Chargefox,-32.27382687,148.5880791
923,"Orchard Ct, Bathurst, 2795","Orchard Ct, Bathurst NSW 2795",Hawkins Walk Mitchell New South Wales 2795,Hawkins Walk,Mitchell,New South Wales,2795,,Exploren,-33.42979584,149.560006
924,"Ordnance St, Newcastle, 2300","Ordnance Street, Newcastle NSW 2300",Newcomen Street The Hill New South Wales 2300,Newcomen Street,The Hill,New South Wales,2300,,Chargefox,-32.93191396,151.7804224
925,"Pacific Hwy Cnr, 13-15 Costa Ave, Charmhaven NSW 2263","Pacific Highway Cnr, 13-15 Costa Avenue, Charmhaven NSW 2263",Costa Avenue San Remo New South Wales 2262,Costa Avenue,San Remo,New South Wales,2262,,Ampol,-33.2179895,151.5103011
926,"Pacific Hwy, Boambee, 2450","Pacific Highway, Boambee NSW 2450",Drive Thru North Boambee Valley New South Wales 2450,Drive Thru,North Boambee Valley,New South Wales,2450,,Chargefox,-30.31793098,153.0897227
927,"Parramatta Rd 214, Sydney, 2134","Parramatta Road 214, Sydney NSW 2134",Bennett Street Burwood New South Wales 2134,Bennett Street,Burwood,New South Wales,2134,,Everty,-33.86979084,151.1106677
928,"Penrith Railway Station, Jane St, Penrith, New South Wales 2750, Australia","Penrith Railway Station, Jane Street, Penrith, New South Wales NSW 2750",Jane Street Penrith New South Wales 2750,Jane Street,Penrith,New South Wales,2750,,JOLT,-33.750304,150.694089
929,"Pine Tree Ln, Central Coast, 2260","Pine Tree Lane, Central Coast NSW 2260",Terrigal Esplanade Terrigal New South Wales 2260,Terrigal Esplanade,Terrigal,New South Wales,2260,,Tesla,-33.44812317,151.4453053
930,"Pittwater Road, Sydney, 2101","Pittwater Road, Sydney NSW 2101",Pittwater Road Narrabeen New South Wales 2101,Pittwater Road,Narrabeen,New South Wales,2101,,JOLT,-33.71376381,151.2971421
931,"Pole Ln, Sydney, 2065","Pole Lane, Sydney NSW 2065",36 Hume Street Crows Nest New South Wales 2065,36 Hume Street,Crows Nest,New South Wales,2065,,Evie,-33.82462167,151.1997668
932,"Popran Rd, Glenworth Valley, 2250","Popran Road, Glenworth Valley NSW 2250",69 Cooks Road Glenworth Valley New South Wales 2250,69 Cooks Road,Glenworth Valley,New South Wales,2250,,Everty,-33.40322627,151.1925055
933,"Prince of Wales Dr, Sydney, 2073","Prince Of Wales Drive, Sydney NSW 2073",Alexander Walkway West Pymble New South Wales 2073,Alexander Walkway,West Pymble,New South Wales,2073,,Exploren,-33.76357562,151.1336246
934,"Princes Highway, Gerringong, 2534","Princes Highway, Gerringong NSW 2534",Kiama Coast Walk Gerringong New South Wales 2534,Kiama Coast Walk,Gerringong,New South Wales,2534,,Porsche Smart Mobility,-34.72438543,150.8423113
935,"Princes Hwy, Ulladulla, 2539","Princes Highway, Ulladulla NSW 2539",Princes Highway Ulladulla New South Wales 2539,Princes Highway,Ulladulla,New South Wales,2539,,Exploren,-35.36842147,150.4706086
936,"Prospect Hwy, Sydney, 2147","Prospect Highway, Sydney NSW 2147",Prospect Highway Seven Hills New South Wales 2147,Prospect Highway,Seven Hills,New South Wales,2147,,EVUp,-33.77580285,150.9335706
937,"Prospect St, Holbrook, 2644","Prospect Street, Holbrook NSW 2644",Raymond Street Holbrook New South Wales 2644,Raymond Street,Holbrook,New South Wales,2644,,NRMA,-35.7181522,147.316019
938,"Queen Elizabeth Dr, Sydney, 2026","Queen Elizabeth Drive, Sydney NSW 2026",Campbell Parade Bondi Beach New South Wales 2026,Campbell Parade,Bondi Beach,New South Wales,2026,,Chargefox,-33.89078083,151.2763093
939,"Railway St, Sydney, 2067","Railway Street, Sydney NSW 2067",Railway Street Sydney New South Wales 2067,Railway Street,Sydney,New South Wales,2067,,Chargefox,-33.79441046,151.1801622
940,"Rankine St, Crescent Head, 2440","Rankine Street, Crescent Head NSW 2440",May Street Crescent Head New South Wales 2440,May Street,Crescent Head,New South Wales,2440,,EVX,-31.18968373,152.9784444
941,"Ring Rd, Newcastle, 2308","Ring Road, Newcastle NSW 2308",University Drive Callaghan New South Wales 2308,University Drive,Callaghan,New South Wales,2308,,Chargefox,-32.89188493,151.701979
942,"Riverside Dr, Jugiong, 2726","Riverside Drive, Jugiong NSW 2726",Riverside Drive New South Wales 2726,Riverside Drive,,New South Wales,2726,,NRMA,-34.82342947,148.3257027
943,"Robey St, Sydney, 2035","Robey Street, Sydney NSW 2035",Robey Street Maroubra New South Wales 2035,Robey Street,Maroubra,New South Wales,2035,,Chargefox,-33.95030735,151.2384284
944,"Robinsons Ln, Tenterfield, 2372","Robinsons Lane, Tenterfield NSW 2372",Robinsons Lane Tenterfield New South Wales 2372,Robinsons Lane,Tenterfield,New South Wales,2372,,Tesla,-29.00038643,152.023976
945,"Rogan Ln, Young, 2594","Rogan Lane, Young NSW 2594",Rogan Lane Young New South Wales 2594,Rogan Lane,Young,New South Wales,2594,,NRMA,-34.31177382,148.2950991
946,"Rosevillle Railway Station, Hill Street, Roseville, New South Wales 2069, Australia","Rosevillle Railway Station, Hill Street, Roseville, New South Wales NSW 2069",Hill Street Roseville New South Wales 2069,Hill Street,Roseville,New South Wales,2069,,JOLT,-33.782904,151.175213
947,"Ross St, Goulburn, 2580","Ross Street, Goulburn NSW 2580",Ross Street Bradfordville New South Wales 2580,Ross Street,Bradfordville,New South Wales,2580,,ChargePoint,-34.7302573,149.7424975
948,"Salisbury Rd, Sydney, 2154","Salisbury Road, Sydney NSW 2154",Salisbury Road Castle Hill New South Wales 2154,Salisbury Road,Castle Hill,New South Wales,2154,,Porsche Smart Mobility,-33.73028233,150.9734114
949,"Science Rd, Sydney, 2113","Science Road, Sydney NSW 2113",Science Road Macquarie Park New South Wales 2113,Science Road,Macquarie Park,New South Wales,2113,,Chargefox,-33.77319124,151.116038
950,"Shiers Ave, Sydney, 2020","Shiers Avenue, Sydney NSW 2020",Keith Smith Avenue Mascot New South Wales 2020,Keith Smith Avenue,Mascot,New South Wales,2020,,Tesla,-33.93278583,151.1802933
951,"Shire St, West Wyalong, 2671","Shire Street, West Wyalong NSW 2671",Shire Lane West Wyalong New South Wales 2671,Shire Lane,West Wyalong,New South Wales,2671,,NRMA,-33.92382187,147.2033794
952,"Shop 2140, Newcastle, 2289","Shop 2140, Newcastle NSW 2289",121 Park Avenue Kotara New South Wales 2289,121 Park Avenue,Kotara,New South Wales,2289,,Exploren,-32.94079384,151.7105495
953,"Short St, Mudgee, 2850","Short Street, Mudgee NSW 2850",Short Street Mudgee New South Wales 2850,Short Street,Mudgee,New South Wales,2850,,NRMA,-32.58960965,149.5857578
954,"Skillman's Lane, Coonamble, NSW 2829, Australia","Skillman'S Lane, Coonamble NSW 2829",Meehan Street Yass New South Wales 2582,Meehan Street,Yass,New South Wales,2582,,NRMA,-34.8411047,148.912197
955,"Smith St, Newcastle West, NSW 2303","Smith Street, Newcastle West NSW 2303",Smith Street Newcastle West New South Wales 2302,Smith Street,Newcastle West,New South Wales,2302,,Chargefox,-32.9301582,151.7606336
956,"Soldiers Pde, Sydney, 2174","Soldiers Parade, Sydney NSW 2174",Gula Court Edmondson Park New South Wales 2174,Gula Court,Edmondson Park,New South Wales,2174,,Chargefox,-33.96909714,150.8615696
957,"Soldiers Point Road, Soldiers Point, 2317","Soldiers Point Road, Soldiers Point NSW 2317",147 Soldiers Point Road Soldiers Point New South Wales 2317,147 Soldiers Point Road,Soldiers Point,New South Wales,2317,,Porsche Smart Mobility,-32.71141446,152.0720931
958,"Sommerlad Ln, Glen Innes, 2370","Sommerlad Lane, Glen Innes NSW 2370",Sommerlad Lane Glen Innes New South Wales 2370,Sommerlad Lane,Glen Innes,New South Wales,2370,,NRMA,-29.73846351,151.7363083
959,"Stuart St, Wagga Wagga, 2650","Stuart Street, Wagga Wagga NSW 2650",Stuart Road East Wagga Wagga New South Wales 2650,Stuart Road,East Wagga Wagga,New South Wales,2650,,Everty,-35.12347852,147.3992282
960,"Sunset Blvd, Soldiers Point, 2317","Sunset Boulevard, Soldiers Point NSW 2317",Ridgeway Avenue Soldiers Point New South Wales 2317,Ridgeway Avenue,Soldiers Point,New South Wales,2317,,Chargefox,-32.70138843,152.0626466
961,"Sussex St, Sydney, 2000","Sussex Street, Sydney NSW 2000",121 Sussex Street Sydney New South Wales 2000,121 Sussex Street,Sydney,New South Wales,2000,,Everty,-33.87052257,151.2038458
962,"Tathra Bermagui Rd, Tathra, 2550","Tathra Bermagui Road, Tathra NSW 2550",Tathra Bermagui Road Tathra New South Wales 2550,Tathra Bermagui Road,Tathra,New South Wales,2550,,Chargefox,-36.71254459,149.976018
963,"The Boulevarde, Sydney, 2216","The Boulevarde, Sydney NSW 2216",The Boulevarde Brighton-Le-Sands New South Wales 2216,The Boulevarde,Brighton-Le-Sands,New South Wales,2216,,Exploren,-33.9612503,151.154957
964,"Unicentre Ln, Wollongong, 2500","Unicentre Lane, Wollongong NSW 2500",Unicentre Road Keiraville New South Wales 2500,Unicentre Road,Keiraville,New South Wales,2500,,Chargefox,-34.40769974,150.8806396
965,"Unit 10/1A Mitchell, Mollymook , 2539","Unit 10/1A Mitchell, Mollymook NSW 2539",Mitchell Parade Mollymook Beach New South Wales 2539,Mitchell Parade,Mollymook Beach,New South Wales,2539,,Tesla,-35.33529034,150.4724404
966,"University Dr, Newcastle, 2308","University Drive, Newcastle NSW 2308",University Drive Callaghan New South Wales 2308,University Drive,Callaghan,New South Wales,2308,,Chargefox,-32.89554259,151.703996
967,"University of Wollongong, Northfields Avenue, Wollongong NSW 2522, Australia","University Of Wollongong, Northfields Avenue, Wollongong NSW 2522",Keiraville New South Wales 2500,,Keiraville,New South Wales,2500,,Chargefox,-34.4079569,150.877135
968,"Valder Way, Charles Sturt University, 2678","Valder Way, Charles Sturt University NSW 2678",Yama Circuit Charles Sturt University New South Wales 2678,Yama Circuit,Charles Sturt University,New South Wales,2678,,Exploren,-35.05693398,147.3512593
969,"Vesper St, Batemans Bay, 2536","Vesper Street, Batemans Bay NSW 2536",Vesper Street Batemans Bay New South Wales 2536,Vesper Street,Batemans Bay,New South Wales,2536,,NRMA,-35.7095526,150.173983
970,"Victoria Hill Rd, Adelong, 2729","Victoria Hill Road, Adelong NSW 2729",Victoria Hill Road Adelong New South Wales 2729,Victoria Hill Road,Adelong,New South Wales,2729,,Chargefox,-35.3062553,148.0642933
971,"Waddells Ave, Singleton, 2330","Waddells Avenue, Singleton NSW 2330",Waddells Lane Singleton New South Wales 2330,Waddells Lane,Singleton,New South Wales,2330,,Everty,-32.57698603,151.1842142
972,"Wallace Lane, Canobolas, 2800","Wallace Lane, Canobolas NSW 2800",Wallace Lane Canobolas New South Wales 2800,Wallace Lane,Canobolas,New South Wales,2800,,Porsche Smart Mobility,-33.33368373,149.0435355
973,"Walton Ln, Picton, 2571","Walton Lane, Picton NSW 2571",1 Walton Street Picton New South Wales 2571,1 Walton Street,Picton,New South Wales,2571,,NRMA,-34.16828833,150.6109429
974,"Western Motorway, Sydney, 2766","Western Motorway, Sydney NSW 2766",Hungry Jacks Drive-Thru Eastern Creek New South Wales 2766,Hungry Jacks Drive-Thru,Eastern Creek,New South Wales,2766,,Ampol,-33.80154859,150.886
975,"William St, Sydney, 2046","William Street, Sydney NSW 2046",William Street Five Dock New South Wales 2046,William Street,Five Dock,New South Wales,2046,,Evie,-33.86864269,151.1185836
976,"Wingewarra St, Dubbo, 2830","Wingewarra Street, Dubbo NSW 2830",76 Wingewarra Street Dubbo New South Wales 2830,76 Wingewarra Street,Dubbo,New South Wales,2830,,NRMA,-32.24936341,148.6091872
977,"Wolgan Rd, Wolgan Valley, 2790","Wolgan Road, Wolgan Valley NSW 2790",Wolgan Road New South Wales 2790,Wolgan Road,,New South Wales,2790,,Porsche Destination Charging,-33.2273524,150.1924444
978,"Wordsworth St, Byron Bay, NSW 2481","Wordsworth Street, Byron Bay NSW 2481",Wordsworth Street Byron Bay New South Wales 2481,Wordsworth Street,Byron Bay,New South Wales,2481,,EVX,-28.6420511,153.6097528
979,"Wyong Rd, Central Coast, 2261","Wyong Road, Central Coast NSW 2261",Mingara Drive Tumbi Umbi New South Wales 2261,Mingara Drive,Tumbi Umbi,New South Wales,2261,,BP,-33.36284489,151.4442893
986,"Stoney Creek Road Car Park, 497 Forest Rd, Bexley, 2207, NSW","Stoney Creek Road Car Park, 497 Forest Road, Bexley, 2207 NSW",Stoney Creek Road Bexley New South Wales 2207,Stoney Creek Road,Bexley,New South Wales,2207,,Fast Cities A,-33.9493369,151.1163356
988,Ross Smith Ave Mascot NSW 2020 Australia,Ross Smith Avenue Mascot NSW 2020,Ross Smith Avenue Mascot New South Wales 2020,Ross Smith Avenue,Mascot,New South Wales,2020,,Tesla Motors ,-33.9380083,151.1924793
992,"Campbell Pde
Bondi Beach NSW 2026
Australia    ","Campbell Parade, Bondi Beach NSW 2026",Campbell Parade Bondi Beach New South Wales 2026,Campbell Parade,Bondi Beach,New South Wales,2026,,Fast Cities A,-33.8897295,151.2797592
993,"Ewingsdale Rd, Byron Bay NSW 2481, Australia","Ewingsdale Road, Byron Bay NSW 2481",Ewingsdale Road Byron Bay New South Wales 2481,Ewingsdale Road,Byron Bay,New South Wales,2481,,Tesla Motors ,-28.6380154,153.5859269
997,"Charter Hall Lake Macquarie, 46 Wilson Road, Mount Hutton NSW 2290, Australia","Charter Hall Lake Macquarie, 46 Wilson Road, Mount Hutton NSW 2290",Wilsons Road Mount Hutton New South Wales 2290,Wilsons Road,Mount Hutton,New South Wales,2290,,BP Australia ,-32.9847608,151.6724345
1008,"Bp Young, Cnr Zouch and Edward Streets, Young NSW 2594, Australia","Bp Young, Cnr Zouch And Edward Streets, Young NSW 2594",A41 Young New South Wales 2594,A41,Young,New South Wales,2594,,BP Australia ,-34.3134008,148.2979356
1010,"Buchanan Dr, South West Rocks NSW 2431, Australia","Buchanan Drive, South West Rocks NSW 2431",Buchanan Drive South West Rocks New South Wales 2431,Buchanan Drive,South West Rocks,New South Wales,2431,Kempsey Shire Council,Exploren,-30.88653,153.0379572
1016,"West Ryde Marketplace
14 Anthony Rd, West Ryde NSW 2114","West Ryde Marketplace, 14 Anthony Road, West Ryde NSW 2114",14 Anthony Road West Ryde New South Wales 2114,14 Anthony Road,West Ryde,New South Wales,2114,,Fast Cities A,-33.8064638,151.0883017
1020,"Ozone St, Chinderah NSW 2487, Australia","Ozone Street, Chinderah NSW 2487",Ozone Street Chinderah New South Wales 2487,Ozone Street,Chinderah,New South Wales,2487,,Tesla Motors ,-28.2444054,153.5574467
1022,Butler Rd Mascot NSW 2020 Australia,Butler Road Mascot NSW 2020,The Grand Parade Brighton-Le-Sands New South Wales 2216,The Grand Parade,Brighton-Le-Sands,New South Wales,2216,,BP Australia ,-33.9440348,151.1855682
1030,"Alexander St
Crows Nest NSW 2065
Australia    ","Alexander Street, Crows Nest NSW 2065",107 Alexander Street Crows Nest New South Wales 2065,107 Alexander Street,Crows Nest,New South Wales,2065,,NRMA Electric,-33.8254711,151.2024328
1031,"450 Quakers Hill Pkwy, Quakers Hill NSW 2763","450 Quakers Hill Pkwy, Quakers Hill NSW 2763",454 Quakers Hill Parkway Quakers Hill New South Wales 2763,454 Quakers Hill Parkway,Quakers Hill,New South Wales,2763,,BP Australia ,-33.7299642,150.9022838
1040,King St Warrawong NSW 2502 Australia,King Street Warrawong NSW 2502,King Street Warrawong New South Wales 2502,King Street,Warrawong,New South Wales,2502,,BP Australia ,-34.4881789,150.8880738
1045,"Bp Kennedy Drive, CNR KENNEDY DVE & DUCAT ST, Tweed Heads NSW 2485, Australia","Bp Kennedy Drive, Cnr Kennedy Dve & Ducat Street, Tweed Heads NSW 2485",Kennedy Drive Tweed Heads New South Wales 2485,Kennedy Drive,Tweed Heads,New South Wales,2485,,BP Australia ,-28.1859,153.5259866
1048,"Mitchell Ave, Khancoban NSW 2642, Australia","Mitchell Avenue, Khancoban NSW 2642",Mitchell Avenue Khancoban New South Wales 2642,Mitchell Avenue,Khancoban,New South Wales,2642,Elizabeth Motor Inn Adamstown,Non-Networked,-36.2140735,148.1324093
1052,"Bp Rozelle, Cnr VIC Rd & Evans St, Rozelle NSW 2039, Australia","Bp Rozelle, Cnr Vic Road & Evans Street, Rozelle NSW 2039",Victoria Road Rozelle New South Wales 2039,Victoria Road,Rozelle,New South Wales,2039,,BP Australia ,-33.8653,151.1716
1053,"Bp Marsden Park, 851 Richmond Road, Marsden Park NSW 2765, Australia","Bp Marsden Park, 851 Richmond Road, Marsden Park NSW 2765",851 Richmond Road Colebee New South Wales 2761,851 Richmond Road,Colebee,New South Wales,2761,,BP Australia ,-33.7195232,150.8449177
1058,"Bp Dundas, 256 Kissing Point Rd, Dundas Valley NSW 2117, Australia","Bp Dundas, 256 Kissing Point Road, Dundas Valley NSW 2117",256 Kissing Point Road Dundas Valley New South Wales 2117,256 Kissing Point Road,Dundas Valley,New South Wales,2117,,BP Australia ,-33.7989253,151.0543765
1060,"Charter Hall Rutherford Marketplace, 1 Hillview St, Rutherford NSW 2320, Australia","Charter Hall Rutherford Marketplace, 1 Hillview Street, Rutherford NSW 2320",West Mall Rutherford New South Wales 2320,West Mall,Rutherford,New South Wales,2320,,BP Australia ,-32.7156085,151.5265817
1061,"University of Wollongong, Northfields Avenue, Wollongong NSW 2522, Australia","University Of Wollongong, Northfields Avenue, Wollongong NSW 2522",Keiraville New South Wales 2500,,Keiraville,New South Wales,2500,,University of,-34.4079569,150.877135
1063,"Cnr Swallow & Peppertree Drive, Erskine Park NSW 2759, Australia","Cnr Swallow & Peppertree Drive, Erskine Park NSW 2759",Peppertree Drive Erskine Park New South Wales 2759,Peppertree Drive,Erskine Park,New South Wales,2759,,Fast Cities A,-33.8041175,150.7988975
1067,Hill St Picton NSW 2571 Australia,Hill Street Picton NSW 2571,34A Hill Street Picton New South Wales 2571,34A Hill Street,Picton,New South Wales,2571,,BP Australia ,-34.1880903,150.6070342
1068,"Bp Mortdale, 21 Boundary Rd, Mortdale NSW 2223, Australia","Bp Mortdale, 21 Boundary Road, Mortdale NSW 2223",Boundary Road Oatley New South Wales 2223,Boundary Road,Oatley,New South Wales,2223,,BP Australia ,-33.970669,151.073689
1070,4/6 Niangala Clos Belrose NSW 2085 Australia,"4/6 Niangala Clos Belrose, NSW 2085",4-6 Niangala Close Sydney New South Wales 2085,4-6 Niangala Close,Sydney,New South Wales,2085,,Tesla Motors ,-33.7034771,151.2131487
1071,Auckland St Bega NSW 2550 Australia,Auckland Street Bega NSW 2550,182 Auckland Street Bega New South Wales 2550,182 Auckland Street,Bega,New South Wales,2550,,Tesla Motors ,-36.6784759,149.8397774
1072,"Grafton St, Coffs Harbour NSW 2450, Australia","Grafton Street, Coffs Harbour NSW 2450",Grafton Street Coffs Harbour New South Wales 2450,Grafton Street,Coffs Harbour,New South Wales,2450,,Tesla Motors ,-30.2955876,153.1146281
1078,11 The Boulevarde Strathfield NSW 2135 Australia,"11 The Boulevarde Strathfield, NSW 2135",11 The Boulevarde Strathfield New South Wales 2135,11 The Boulevarde,Strathfield,New South Wales,2135,,Tesla Motors ,-33.8732249,151.0931072
1079,"Bp Rydalmere, 265 Victoria Rd, Rydalmere, NSW, 2116, Australia","Bp Rydalmere, 265 Victoria Road, Rydalmere NSW 2116",898-902 Victoria Road West Ryde New South Wales 2114,898-902 Victoria Road,West Ryde,New South Wales,2114,,BP Australia ,-33.8118926,151.0947271
1080,"Charter Hall Carnes Hill Marketplace, Corner Cowpasture & Kurrajong Roads, Horningsea Park NSW 2171, Australia","Charter Hall Carnes Hill Marketplace, Corner Cowpasture & Kurrajong Roads, Horningsea Park NSW 2171",Kurrajong Road Carnes Hill New South Wales 2171,Kurrajong Road,Carnes Hill,New South Wales,2171,,BP Australia ,-33.9360579,150.8450408
1081,"East St, Harden NSW 2587, Australia","East Street, Harden NSW 2587",East Street Harden New South Wales 2587,East Street,Harden,New South Wales,2587,Cargo Road Wines,Non-Networked,-34.5624066,148.3641064
1082,"Bp Bonnyrigg, CNR COWPASTURE & NTH LIVERPOOL RDS, Bonnyrigg NSW 2177, Australia","Bp Bonnyrigg, Cnr Cowpasture & Nth Liverpool Rds, Bonnyrigg NSW 2177",North Liverpool Road Bonnyrigg Heights New South Wales 2177,North Liverpool Road,Bonnyrigg Heights,New South Wales,2177,,BP Australia ,-33.8942808,150.8579509
1083,"Bp Moorebank, 226/228 Newbridge Rd, Moorebank NSW 2170","Bp Moorebank, 226/228 Newbridge Road, Moorebank NSW 2170",Newbridge Road Moorebank New South Wales 2170,Newbridge Road,Moorebank,New South Wales,2170,,BP Australia ,-33.9293332,150.9532015
