OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_NAME26,SA4_CODE26,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_data_provider,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_connector_types_normalized,external_number_of_plugs,external_numeric_conflict_flags,external_number_of_plugs_quality,external_number_of_plugs_semantics,external_charger_capacity,external_power_kw_values,external_power_kw_min,external_power_kw_max,external_status,external_operational_status,external_usage_cost,external_last_verified,external_comments,external_opening_hours,external_latitude,external_longitude,external_attributes_json,augmentation_review_reason
,,"201 Sloane Street, Goulburn NSW 2580",Tesla,16,DC,130 kW,-34.75552357,149.720998,Goulburn Mulwaree Council,2580,Existing Fast Chargers,Capital Region,101,accepted,OCM:coordinate_500m,1.0,False,305.0,8.264609137530831,8.264609137530831,,OCM,Open Charge Map,OCM:79851,Goulburn Supercharger [Tesla],"OCM:201 Sloan St, Goulburn",Tesla (Tesla-only charging),CCS (Type 2),CCS,8.0,,reported_or_derived_from_connection_quantity,OCM NumberOfPoints or positive connection Quantity,120 kW,120.0,120.0,120.0,Operational,operational,$0.52/kWh,2021-12-19T02:14:00Z,"8 Superchargers, available 24/7",,-34.755597,149.720984,"{""OCM::charger_capacities"": ""120 kW"", ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::general_comments"": ""8 Superchargers, available 24/7"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2021-12-19T02:14:00Z"", ""OCM::latitude"": -34.755597, ""OCM::longitude"": 149.720984, ""OCM::number_of_plugs"": 8.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Tesla (Tesla-only charging)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 120.0, ""OCM::power_kw_min"": 120.0, ""OCM::power_kw_values"": [120.0], ""OCM::station_address"": ""201 Sloan St, Goulburn"", ""OCM::station_name"": ""Goulburn Supercharger [Tesla]"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.52/kWh""}",
,,"201 Sussex Street, Sydney NSW 2000",Chargefox,2,AC,22 kW,-33.871959,151.2039029,"Sydney, Council of the City of",2000,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20-22 Camden Road Campbelltown NSW 2560,Tesla,12,DC,175 kW,-34.0725934,150.8078816,Campbelltown City Council,2560,Fast Charging R1,Sydney - Outer South West,123,review,,0.5,True,307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: coordinate exceeds 100m automatic threshold; OSM: coordinate exceeds 100m automatic threshold; Charge@Large: coordinate exceeds 100m automatic threshold
,,"203 Victoria Street, Potts Point NSW 2011",Tesla,4,AC,6 kW,-33.87458063,151.2218569,"Sydney, Council of the City of",2011,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2032 Camden Valley Way, Sydney NSW 2174",Exploren,8,AC,22 kW,-33.95508313,150.8622653,Liverpool City Council,2174,Existing Destination Chargers,Sydney - South West,127,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"205 Kelly Street, Scone NSW 2337",Tesla,2,AC,22 kW,-32.05161266,150.8670891,Upper Hunter Shire Council,2337,Existing Destination Chargers,Hunter Valley exc Newcastle,106,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"205 Old Hume Highway, Mittagong NSW 2575",Evie Networks,4,DC,150 kW,-34.44672777,150.436991,Wingecarribee Shire Council,2575,Existing Fast Chargers,Southern Highlands and Shoalhaven,114,accepted,OSM:coordinate_500m,1.0,False,311.0,2.6373126631822554,2.6373126631822554,,OSM,OpenStreetMap,OSM:11365114635,,,Evie Networks,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-34.4467455830192,150.437009989843,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -34.4467455830192, ""OSM::longitude"": 150.437009989843, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2023-11-20"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"205 O'Riordan Street, Sydney NSW 2020",Tesla,4,AC,22 kW,-33.927953,151.1871321,Bayside Council,2020,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2072 Camden Valley Way, Edmondson Park NSW 2174",Ampol,2,DC,125 kW,-33.9558559,150.8648944,Liverpool City Council,2174,ARENA - Driving the Nation,Sydney - South West,127,accepted,OSM:coordinate_500m,1.0,False,313.0,38.530426794150486,38.530426794150486,,OSM,OpenStreetMap,OSM:11419886723,,,AmpCharge,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.9555586809765,150.865109156546,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.9555586809765, ""OSM::longitude"": 150.865109156546, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""AmpCharge"", ""OSM::osm_last_updated"": ""2025-07-29"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"2090 Broke Road, Pokolbin NSW 2320",NRMA Electric,4,DC,75 kW,-32.77342947,151.2982713,Cessnock City Council,2320,Existing Fast Chargers,Hunter Valley exc Newcastle,106,unmatched,,0.0,False,314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"21 Alice Street, Moree NSW 2400",Tesla,2,AC,19 kW,-29.47081786,149.847045,Moree Plains Shire Council,2400,Existing Destination Chargers,New England and North West,110,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Ayrshire Crescent, Newcastle NSW 2304",EVUp,2,AC,23 kW,-32.87689894,151.7117558,Newcastle City Council,2304,Existing Destination Chargers,Newcastle and Lake Macquarie,111,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Church Street, Sydney NSW 2112",Exploren,1,AC,22 kW,-33.81449254,151.1046486,"Ryde, Council of the City of",2112,Existing Destination Chargers,Sydney - Ryde,126,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Combo Street, Goolgowi NSW 2652",Exploren,4,AC,22 kW,-33.97943248,145.7069419,Carrathool Shire Council,2652,Existing Destination Chargers,Riverina,113,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Hague Avenue, Albury NSW 2640",Exploren,1,AC,22 kW,-36.06470575,146.9342242,Albury City Council,2640,Existing Destination Chargers,Murray,109,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Morgo Street, Urunga NSW 2455",EVX,2,AC,22 kW,-30.49581986,153.022,Bellingen Shire Council,2455,Existing Destination Chargers,Coffs Harbour - Grafton,104,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"21 Roselands Avenue, Sydney NSW 2196",Exploren,2,AC,22 kW,-33.93547052,151.0714184,Canterbury Bankstown Council,2196,Existing Destination Chargers,Sydney - Inner South West,119,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2-10 Wentworth Street, Sydney NSW 2150",Exploren,6,AC,22 kW,-33.81921626,151.0047057,"Parramatta, Council of the City of",2150,Existing Destination Chargers,Sydney - Parramatta,125,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"211 Lake Entrance Road, Shellharbour City Centre NSW 2529",Tesla,4,AC,6 kW,-34.56390495,150.8381191,Shellharbour City Council,2529,Existing Destination Chargers,Illawarra,107,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"211 Lake Entrance Road, Shellharbour City Centre NSW 2529",Ampol,10,DC,150 kW,-34.56639944,150.8394074,Shellharbour City Council,2529,Existing Fast Chargers,Illawarra,107,review,,0.5,True,324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: coordinate exceeds 100m automatic threshold; OSM: coordinate exceeds 100m automatic threshold
,,"2-110 Ben Boyd Parade, Boydtown NSW 2551",Exploren,1,AC,22 kW,-37.11146251,149.8802072,Bega Valley Shire Council,2551,Existing Destination Chargers,Capital Region,101,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2-14 Cliff Road, Wollongong NSW 2500",Tesla,4,AC,22 kW,-34.41458363,150.9002392,Wollongong City Council,2500,Existing Destination Chargers,Illawarra,107,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2197 Giinagay Way, Nambucca Heads NSW 2448",Tesla,2,AC,22 kW,-30.65431636,152.986997,Nambucca Valley Council,2448,Existing Destination Chargers,Mid North Coast,108,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"22 Buchanan Street, Kandos NSW 2848",Tesla,1,AC,22 kW,-32.86006011,149.9730971,Mid-Western Regional Council,2848,Existing Destination Chargers,Central West,103,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"22 Carillon Street, Camperdown NSW 2042",EVX,2,AC,22 kW,-33.89123228,151.1868509,"Sydney, Council of the City of",2042,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"22 Cook Lane, Sydney NSW 2223",JOLT,2,DC,25 kW,-33.9701502,151.0801331,Georges River Council,2223,Existing Fast Chargers,Sydney - Inner South West,119,unmatched,,0.0,False,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"22 Giffnock Avenue, Sydney NSW 2113",Exploren,1,AC,22 kW,-33.78299204,151.1227908,"Ryde, Council of the City of",2113,Existing Destination Chargers,Sydney - Ryde,126,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"220 Taren Point Road, Caringbah NSW 2229",Evie Networks,4,DC,75 kW,-34.02927306,151.1220736,Sutherland Shire Council,2229,ARENA - Driving the Nation,Sydney - Sutherland,128,review,,0.5,True,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OSM: coordinate exceeds 100m automatic threshold; Charge@Large: coordinate exceeds 100m automatic threshold
,,"221 Wolseley Street, Jamisontown NSW 2750",Evie Networks,4,DC,350 kW,-33.770295,150.673823,Penrith City Council,2614,ARENA - Driving the Nation,Sydney - Outer West and Blue Mountains,124,review,,0.5,True,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: source address postcode 2750 conflicts with PCODE 2614; external postcode 2750 conflicts with source PCODE 2614
,,"22-24 Park Avenue, Sydney NSW 2134",JOLT,2,DC,25 kW,-33.87384989,151.1019449,Burwood Council,2134,Existing Fast Chargers,Sydney - Inner West,120,unmatched,,0.0,False,334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"224 Princes Highway, Wollongong NSW 2519",BP,2,DC,75 kW,-34.40332537,150.8914635,Wollongong City Council,2519,Existing Fast Chargers,Illawarra,107,accepted,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,0.5,True,335.0,1.2234078573374738,1.2234078573374738,,OCM;OSM,Open Charge Map; OpenStreetMap,OCM:273425;OSM:10783513810,Fairy Meadow [bp pulse],"OCM:224 Princes Hwy, Fairy Meadow, New South Wales, 2519",BP Pulse (AU); bp pulse,CCS (Type 2); CCS,CCS,2.0,,reported_or_derived_from_connection_quantity; missing_or_suspicious,OCM NumberOfPoints or positive connection Quantity; OSM charge_points_count; values above 100 are withheld as suspicious,75 kW,75.0,75.0,75.0,Operational,operational,55c/kWh,2023-08-09T11:24:00Z,,,-34.40299801963799,150.89157957672126,"{""OCM::charger_capacities"": ""75 kW"", ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-08-09T11:24:00Z"", ""OCM::latitude"": -34.40299801963799, ""OCM::longitude"": 150.89157957672126, ""OCM::number_of_plugs"": 2.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""BP Pulse (AU)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 75.0, ""OCM::power_kw_min"": 75.0, ""OCM::power_kw_values"": [75.0], ""OCM::station_address"": ""224 Princes Hwy, Fairy Meadow, New South Wales, 2519"", ""OCM::station_name"": ""Fairy Meadow [bp pulse]"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""55c/kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -34.4033184397631, ""OSM::longitude"": 150.891453142944, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""bp pulse"", ""OSM::osm_last_updated"": ""2025-11-30"", ""OSM::plug_types"": ""CCS""}",Charge@Large: coordinate exceeds 100m automatic threshold
,,"224 Prospect Highway, Seven Hills NSW 2147",Evie Networks,4,DC,150 kW,-33.77578997,150.9330864,Cumberland Council,2147,ARENA - Driving the Nation,Sydney - Blacktown,116,accepted,OSM:coordinate_500m,1.0,False,336.0,7.611890022358916,7.611890022358916,,OSM,OpenStreetMap,OSM:11365136257,,,Evie Networks,CCS,CCS,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.7757920036142,150.933004080994,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.7757920036142, ""OSM::longitude"": 150.933004080994, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2023-11-20"", ""OSM::plug_types"": ""CCS""}",
,,"224 Railway Parade, Sydney NSW 2166",Tesla,2,AC,19 kW,-33.89670075,150.938,Fairfield City Council,2166,Existing Destination Chargers,Sydney - South West,127,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"225 George Street, Sydney NSW 2000",Chargestar,4,AC,22 kW,-33.86213918,151.2072993,"Sydney, Council of the City of",2000,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"225 George Street, Sydney NSW 2000",Saascharge,4,AC,22 kW,-33.86262867,151.2072362,"Sydney, Council of the City of",2000,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2260 Camden Valley Way, Sydney NSW 2170",JOLT,2,DC,25 kW,-33.95800605,150.8864635,Liverpool City Council,2170,Existing Fast Chargers,Sydney - South West,127,accepted,OSM:coordinate_500m,1.0,False,340.0,7.777506602184011,7.777506602184011,,OSM,OpenStreetMap,OSM:11689937303,,,Jolt,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.9579982338952,150.886547298836,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.9579982338952, ""OSM::longitude"": 150.886547298836, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Jolt"", ""OSM::osm_last_updated"": ""2024-03-04"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"2260 Camden Valley Way, Sydney NSW 2170",JOLT,2,DC,25 kW,-33.9581552,150.8866296,Liverpool City Council,2170,Existing Fast Chargers,Sydney - South West,127,accepted,OSM:coordinate_500m,1.0,False,341.0,19.03298201099214,19.03298201099214,,OSM,OpenStreetMap,OSM:11689937303,,,Jolt,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-33.9579982338952,150.886547298836,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -33.9579982338952, ""OSM::longitude"": 150.886547298836, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Jolt"", ""OSM::osm_last_updated"": ""2024-03-04"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"227 Railway Terrace, Schofields NSW 2762",Evie Networks,4,DC,50 kW,-33.705677,150.876075,Blacktown City Council,2762,ARENA - Driving the Nation,Sydney - Blacktown,116,accepted,OCM:coordinate_500m,1.0,False,342.0,71.25307344524384,71.25307344524384,,OCM,Open Charge Map,OCM:191162,Coles Schofields,"OCM:227 Railway Rerrace, Schofields, NSW",Evie,CCS (Type 2); CHAdeMO,CCS; CHAdeMO,2.0,,reported_or_derived_from_connection_quantity,OCM NumberOfPoints or positive connection Quantity,50 kW,50.0,50.0,50.0,Operational,operational,$0.40/kWh,2023-07-15T11:54:00Z,,,-33.706161447313946,150.87557080542024,"{""OCM::charger_capacities"": ""50 kW"", ""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-07-15T11:54:00Z"", ""OCM::latitude"": -33.706161447313946, ""OCM::longitude"": 150.87557080542024, ""OCM::number_of_plugs"": 2.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 50.0, ""OCM::power_kw_min"": 50.0, ""OCM::power_kw_values"": [50.0], ""OCM::station_address"": ""227 Railway Rerrace, Schofields, NSW"", ""OCM::station_name"": ""Coles Schofields"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.40/kWh""}",
,,"228-234 Pacific Highway, Swansea NSW 2281",Everty,2,DC,25 kW,-33.09176581,151.6374214,Lake Macquarie City Council,2281,Existing Fast Chargers,Newcastle and Lake Macquarie,111,review,,0.5,True,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: fuzzy address only; coordinate exceeds 500m
,,"2285 Pacific Highway, Heatherbrae NSW 2324",Tesla,12,DC,130 kW,-32.78729434,151.7283534,Port Stephens Council,2324,Existing Fast Chargers,Hunter Valley exc Newcastle,106,accepted,OCM:coordinate_and_fuzzy_address,1.0,False,344.0,83.65692890297191,83.65692890297191,,OCM,Open Charge Map,OCM:79490,Heatherbrae Supercharger [Tesla],"OCM:2285 Pacific Highway, Heatherbrae, 2324",Tesla (Tesla-only charging),CCS (Type 2),CCS,6.0,,reported_or_derived_from_connection_quantity,OCM NumberOfPoints or positive connection Quantity,120 kW,120.0,120.0,120.0,Operational,operational,$0.52/kWh,2021-12-19T02:07:00Z,,,-32.787812,151.727704,"{""OCM::charger_capacities"": ""120 kW"", ""OCM::connector_types_normalized"": ""CCS"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2021-12-19T02:07:00Z"", ""OCM::latitude"": -32.787812, ""OCM::longitude"": 151.727704, ""OCM::number_of_plugs"": 6.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Tesla (Tesla-only charging)"", ""OCM::plug_types"": ""CCS (Type 2)"", ""OCM::power_kw_max"": 120.0, ""OCM::power_kw_min"": 120.0, ""OCM::power_kw_values"": [120.0], ""OCM::station_address"": ""2285 Pacific Highway, Heatherbrae, 2324"", ""OCM::station_name"": ""Heatherbrae Supercharger [Tesla]"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.52/kWh""}",
,,"22A Clovelly Road, Sydney NSW 2031",Exploren,1,AC,22 kW,-33.90363668,151.2426326,Randwick City Council,2031,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"23 Morwick Street, Sydney NSW 2135",Exploren,1,AC,6 kW,-33.87470775,151.0949499,Burwood Council,2135,Existing Destination Chargers,Sydney - Inner West,120,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"23 Roma Avenue, Sydney NSW 2033",Exploren,1,AC,22 kW,-33.91371376,151.2242913,Randwick City Council,2033,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"230 Arden Street, Sydney NSW 2034",JOLT,2,DC,50 kW,-33.92159464,151.2565566,Randwick City Council,2034,Existing Fast Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"23-25 Oxley Street, Taree NSW 2430",Tesla,2,AC,22 kW,-31.90289194,152.4773714,Mid-Coast Council,2430,Existing Destination Chargers,Mid North Coast,108,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"233 Wharf Road, Newcastle NSW 2300",Chargefox,4,AC,22 kW,-32.92590895,151.778968,Newcastle City Council,2300,Existing Destination Chargers,Newcastle and Lake Macquarie,111,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2352 George Bass Drive, Broulee NSW 2537",Tesla,1,AC,22 kW,-35.8426527,150.167026,Eurobodalla Shire Council,2537,Existing Destination Chargers,Capital Region,101,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"235-285 New South Head Road, Sydney NSW 2027",Exploren,4,AC,6 kW,-33.87953158,151.2364865,Woollahra Municipal Council,2027,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2398 Pacific Highway, Heatherbrae NSW 2324",BP,2,DC,75 kW,-32.78334139,151.7370591,Port Stephens Council,2324,Existing Fast Chargers,Hunter Valley exc Newcastle,106,accepted,OSM:coordinate_500m,0.5,True,353.0,7.1741007440143845,7.1741007440143845,,OSM,OpenStreetMap,OSM:10647829948,,,BP Pulse,CCS|CHAdeMO,CCS; CHAdeMO,2.0,,valid,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-32.7833007394841,151.737118693003,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -32.7833007394841, ""OSM::longitude"": 151.737118693003, ""OSM::number_of_plugs"": 2, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 2, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""BP Pulse"", ""OSM::osm_last_updated"": ""2024-06-23"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",OCM: fuzzy address only; coordinate exceeds 500m
,,"23A Roylston Street, Sydney NSW 2021",Exploren,1,AC,22 kW,-33.88178283,151.2333283,Woollahra Municipal Council,2021,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"24 Cooper Street, Macksville NSW 2447",Evie Networks,4,DC,350 kW,-30.71023028,152.9197698,Nambucca Valley Council,2447,Existing Fast Chargers,Mid North Coast,108,accepted,OCM:coordinate_and_fuzzy_address;OSM:coordinate_500m,0.5,True,355.0,7.267342318765793,7.267342318765793,,OCM;OSM,Open Charge Map; OpenStreetMap,OCM:190392;OSM:8505686311,Evie Macksville,"OCM:24 Cooper St, Ampol Foodary, Macksville, New South Wales, 2447",Evie; Evie Networks,CCS (Type 2); CHAdeMO; CCS|CHAdeMO,CCS; CHAdeMO,,number_of_plugs,reported_or_derived_from_connection_quantity; valid,OCM NumberOfPoints or positive connection Quantity; OSM charge_points_count; values above 100 are withheld as suspicious,350 kW,350.0,350.0,350.0,Operational,operational,$0.60 per kWh,2023-07-16T12:45:00Z,,,-30.709970892832544,152.91982301754945,"{""OCM::charger_capacities"": ""350 kW"", ""OCM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OCM::data_provider"": ""Open Charge Map"", ""OCM::is_operational"": true, ""OCM::last_verified"": ""2023-07-16T12:45:00Z"", ""OCM::latitude"": -30.709970892832544, ""OCM::longitude"": 152.91982301754945, ""OCM::number_of_plugs"": 2.0, ""OCM::number_of_plugs_quality"": ""reported_or_derived_from_connection_quantity"", ""OCM::number_of_plugs_semantics"": ""OCM NumberOfPoints or positive connection Quantity"", ""OCM::operational_status"": ""operational"", ""OCM::operator"": ""Evie"", ""OCM::plug_types"": ""CCS (Type 2); CHAdeMO"", ""OCM::power_kw_max"": 350.0, ""OCM::power_kw_min"": 350.0, ""OCM::power_kw_values"": [350.0], ""OCM::station_address"": ""24 Cooper St, Ampol Foodary, Macksville, New South Wales, 2447"", ""OCM::station_name"": ""Evie Macksville"", ""OCM::status"": ""Operational"", ""OCM::usage_cost"": ""$0.60 per kWh"", ""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -30.7101732792609, ""OSM::longitude"": 152.919806990985, ""OSM::number_of_plugs"": 4, ""OSM::number_of_plugs_quality"": ""valid"", ""OSM::number_of_plugs_raw"": 4, ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2026-06-11"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",accepted sources disagree on number_of_plugs
